;Lat (DMS);Long (DMS);Depth (m)
0;48-03-11.239N;069-17-59.617W;-5.14
1;48-03-11.069N;069-17-58.481W;-5.07
2;48-03-11.639N;069-17-59.525W;-4.98
3;48-03-11.709N;069-17-59.613W;-4.83
4;48-03-11.715N;069-17-59.139W;-4.94
5;48-03-12.035N;069-17-58.254W;-5.13
6;48-03-12.070N;069-17-59.650W;-4.79
7;48-03-12.264N;069-17-59.141W;-4.8
8;48-03-12.418N;069-17-58.745W;-5.0
9;48-03-12.359N;069-17-58.571W;-5.06
10;48-03-12.228N;069-17-58.172W;-5.1
11;48-03-12.688N;069-17-59.603W;-4.75
12;48-03-12.526N;069-17-59.152W;-4.7
13;48-03-12.608N;069-17-59.054W;-4.74
14;48-03-12.578N;069-17-58.564W;-4.9
15;48-03-12.612N;069-17-58.035W;-5.06
16;48-03-12.520N;069-17-57.763W;-5.1
17;48-03-13.063N;069-17-59.802W;-4.57
18;48-03-13.063N;069-17-59.339W;-4.74
19;48-03-13.128N;069-17-58.894W;-4.65
20;48-03-12.951N;069-17-58.421W;-4.8
21;48-03-12.882N;069-17-58.084W;-4.92
22;48-03-12.798N;069-17-57.752W;-4.98
23;48-03-13.056N;069-17-57.458W;-4.99
24;48-03-13.022N;069-17-57.253W;-5.04
25;48-03-13.021N;069-17-56.259W;-5.13
26;48-03-13.191N;069-17-59.635W;-4.53
27;48-03-13.311N;069-17-59.246W;-4.58
28;48-03-13.228N;069-17-58.966W;-4.61
29;48-03-13.253N;069-17-58.414W;-4.78
30;48-03-13.320N;069-17-58.341W;-4.85
31;48-03-13.175N;069-17-57.884W;-4.83
32;48-03-13.251N;069-17-57.587W;-4.83
33;48-03-13.378N;069-17-56.987W;-5.1
34;48-03-13.308N;069-17-56.240W;-5.12
35;48-03-13.226N;069-17-56.028W;-5.12
36;48-03-13.577N;069-17-59.619W;-4.79
37;48-03-13.511N;069-17-59.302W;-4.57
38;48-03-13.505N;069-17-58.753W;-4.51
39;48-03-13.527N;069-17-58.558W;-4.68
40;48-03-13.527N;069-17-58.078W;-4.79
41;48-03-13.831N;069-17-57.918W;-4.77
42;48-03-13.669N;069-17-57.321W;-4.78
43;48-03-13.505N;069-17-56.996W;-4.9
44;48-03-13.810N;069-17-56.823W;-4.91
45;48-03-13.541N;069-17-56.469W;-5.13
46;48-03-13.839N;069-17-56.067W;-5.05
47;48-03-14.021N;069-17-59.486W;-4.56
48;48-03-14.219N;069-17-59.455W;-4.66
49;48-03-14.157N;069-17-58.923W;-4.47
50;48-03-14.064N;069-17-58.505W;-4.63
51;48-03-13.864N;069-17-57.968W;-4.79
52;48-03-13.960N;069-17-57.454W;-4.66
53;48-03-13.886N;069-17-57.058W;-4.81
54;48-03-13.977N;069-17-56.720W;-4.86
55;48-03-14.014N;069-17-56.348W;-4.89
56;48-03-14.165N;069-17-55.950W;-4.92
57;48-03-14.220N;069-17-55.562W;-5.06
58;48-03-14.504N;069-17-59.573W;-4.41
59;48-03-14.360N;069-17-59.359W;-4.5
60;48-03-14.563N;069-17-59.037W;-4.63
61;48-03-14.336N;069-17-58.520W;-4.49
62;48-03-14.253N;069-17-58.223W;-4.55
63;48-03-14.352N;069-17-57.759W;-4.59
64;48-03-14.246N;069-17-57.304W;-4.69
65;48-03-14.326N;069-17-56.943W;-4.66
66;48-03-14.424N;069-17-56.613W;-4.7
67;48-03-14.314N;069-17-56.467W;-4.63
68;48-03-14.346N;069-17-55.954W;-4.83
69;48-03-14.354N;069-17-55.574W;-4.92
70;48-03-14.815N;069-17-59.678W;-4.42
71;48-03-14.877N;069-17-59.135W;-4.48
72;48-03-14.641N;069-17-58.989W;-4.41
73;48-03-14.647N;069-17-58.677W;-4.42
74;48-03-14.923N;069-17-58.280W;-4.46
75;48-03-14.715N;069-17-57.681W;-4.55
76;48-03-14.790N;069-17-57.360W;-4.52
77;48-03-14.926N;069-17-57.257W;-4.56
78;48-03-14.631N;069-17-56.774W;-4.4
79;48-03-14.834N;069-17-56.354W;-4.73
80;48-03-14.654N;069-17-55.871W;-4.76
81;48-03-14.710N;069-17-55.567W;-4.84
82;48-03-14.652N;069-17-55.283W;-4.83
83;48-03-14.789N;069-17-55.112W;-5.05
84;48-03-15.072N;069-17-59.555W;-4.31
85;48-03-15.220N;069-17-59.226W;-4.36
86;48-03-15.300N;069-17-58.942W;-4.45
87;48-03-14.953N;069-17-58.547W;-4.39
88;48-03-15.187N;069-17-58.258W;-4.41
89;48-03-14.966N;069-17-57.741W;-4.49
90;48-03-15.215N;069-17-57.522W;-4.56
91;48-03-15.156N;069-17-57.182W;-4.61
92;48-03-14.974N;069-17-56.860W;-4.7
93;48-03-14.965N;069-17-56.262W;-4.67
94;48-03-15.141N;069-17-55.962W;-4.76
95;48-03-15.165N;069-17-55.718W;-4.85
96;48-03-14.986N;069-17-55.367W;-4.88
97;48-03-15.071N;069-17-54.893W;-5.04
98;48-03-15.285N;069-17-54.565W;-5.13
99;48-03-15.595N;069-17-59.662W;-4.45
100;48-03-15.642N;069-17-59.253W;-4.37
101;48-03-15.310N;069-17-58.826W;-4.35
102;48-03-15.533N;069-17-58.463W;-4.37
103;48-03-15.605N;069-17-58.049W;-4.33
104;48-03-15.365N;069-17-57.907W;-4.39
105;48-03-15.503N;069-17-57.340W;-4.46
106;48-03-15.471N;069-17-57.020W;-4.46
107;48-03-15.389N;069-17-56.773W;-4.56
108;48-03-15.463N;069-17-56.283W;-4.6
109;48-03-15.449N;069-17-56.036W;-4.72
110;48-03-15.339N;069-17-55.701W;-4.8
111;48-03-15.608N;069-17-55.266W;-4.77
112;48-03-15.551N;069-17-54.960W;-4.9
113;48-03-15.480N;069-17-54.769W;-4.88
114;48-03-15.622N;069-17-54.270W;-4.98
115;48-03-15.727N;069-17-59.508W;-4.35
116;48-03-15.775N;069-17-59.234W;-4.28
117;48-03-15.758N;069-17-58.941W;-4.2
118;48-03-15.964N;069-17-58.687W;-4.29
119;48-03-15.786N;069-17-58.327W;-4.31
120;48-03-15.794N;069-17-57.712W;-4.4
121;48-03-15.961N;069-17-57.468W;-4.39
122;48-03-15.789N;069-17-57.280W;-4.43
123;48-03-15.751N;069-17-56.715W;-4.54
124;48-03-15.746N;069-17-56.365W;-4.57
125;48-03-15.704N;069-17-55.880W;-4.54
126;48-03-15.762N;069-17-55.548W;-4.68
127;48-03-15.839N;069-17-55.286W;-4.67
128;48-03-15.770N;069-17-54.803W;-4.75
129;48-03-15.731N;069-17-54.766W;-4.77
130;48-03-15.773N;069-17-54.291W;-4.93
131;48-03-15.979N;069-17-53.877W;-4.88
132;48-03-15.954N;069-17-53.610W;-5.01
133;48-03-16.248N;069-17-59.529W;-4.3
134;48-03-16.144N;069-17-59.150W;-4.25
135;48-03-16.198N;069-17-58.814W;-4.35
136;48-03-16.039N;069-17-58.515W;-4.45
137;48-03-16.323N;069-17-58.379W;-4.41
138;48-03-16.346N;069-17-57.942W;-4.47
139;48-03-16.337N;069-17-57.604W;-4.43
140;48-03-16.120N;069-17-57.261W;-4.38
141;48-03-16.188N;069-17-56.926W;-4.38
142;48-03-16.243N;069-17-56.266W;-4.41
143;48-03-16.333N;069-17-56.004W;-4.42
144;48-03-16.179N;069-17-55.516W;-4.49
145;48-03-16.158N;069-17-55.223W;-4.63
146;48-03-16.238N;069-17-54.842W;-4.61
147;48-03-16.141N;069-17-54.508W;-4.7
148;48-03-16.103N;069-17-54.167W;-4.72
149;48-03-16.104N;069-17-53.709W;-4.87
150;48-03-16.291N;069-17-53.378W;-4.93
151;48-03-16.312N;069-17-53.229W;-5.0
152;48-03-16.263N;069-17-52.149W;-5.07
153;48-03-16.485N;069-17-59.481W;-4.11
154;48-03-16.503N;069-17-59.214W;-4.17
155;48-03-16.596N;069-17-58.877W;-4.23
156;48-03-16.570N;069-17-58.393W;-4.39
157;48-03-16.638N;069-17-58.143W;-4.35
158;48-03-16.610N;069-17-57.697W;-4.33
159;48-03-16.605N;069-17-57.327W;-4.42
160;48-03-16.599N;069-17-57.031W;-4.34
161;48-03-16.692N;069-17-56.701W;-4.37
162;48-03-16.695N;069-17-56.455W;-4.49
163;48-03-16.508N;069-17-55.867W;-4.34
164;48-03-16.460N;069-17-55.550W;-4.47
165;48-03-16.393N;069-17-55.203W;-4.54
166;48-03-16.445N;069-17-55.138W;-4.52
167;48-03-16.676N;069-17-54.618W;-4.59
168;48-03-16.455N;069-17-54.218W;-4.75
169;48-03-16.541N;069-17-53.857W;-4.79
170;48-03-16.455N;069-17-53.485W;-4.95
171;48-03-16.440N;069-17-53.219W;-4.96
172;48-03-16.631N;069-17-52.978W;-4.99
173;48-03-16.977N;069-17-59.612W;-3.99
174;48-03-16.794N;069-17-59.191W;-4.12
175;48-03-16.930N;069-17-58.975W;-4.19
176;48-03-16.753N;069-17-58.386W;-4.23
177;48-03-17.008N;069-17-58.360W;-4.26
178;48-03-16.793N;069-17-57.886W;-4.31
179;48-03-16.754N;069-17-57.342W;-4.4
180;48-03-16.765N;069-17-57.044W;-4.26
181;48-03-16.823N;069-17-56.732W;-4.32
182;48-03-16.883N;069-17-56.364W;-4.44
183;48-03-17.033N;069-17-55.894W;-4.5
184;48-03-16.947N;069-17-55.636W;-4.52
185;48-03-17.030N;069-17-55.422W;-4.44
186;48-03-16.769N;069-17-54.812W;-4.48
187;48-03-16.817N;069-17-54.630W;-4.58
188;48-03-16.747N;069-17-54.155W;-4.6
189;48-03-16.771N;069-17-53.846W;-4.65
190;48-03-16.842N;069-17-53.385W;-4.78
191;48-03-16.752N;069-17-53.052W;-4.89
192;48-03-16.753N;069-17-52.662W;-4.94
193;48-03-16.756N;069-17-52.519W;-5.12
194;48-03-16.924N;069-17-52.174W;-5.09
195;48-03-17.198N;069-17-59.489W;-4.03
196;48-03-17.290N;069-17-59.100W;-4.14
197;48-03-17.362N;069-17-58.838W;-4.11
198;48-03-17.111N;069-17-58.685W;-4.22
199;48-03-17.109N;069-17-58.085W;-4.17
200;48-03-17.417N;069-17-57.785W;-4.19
201;48-03-17.411N;069-17-57.577W;-4.27
202;48-03-17.110N;069-17-56.972W;-4.17
203;48-03-17.239N;069-17-56.747W;-4.21
204;48-03-17.176N;069-17-56.275W;-4.41
205;48-03-17.121N;069-17-56.208W;-4.44
206;48-03-17.257N;069-17-55.551W;-4.29
207;48-03-17.231N;069-17-55.248W;-4.54
208;48-03-17.308N;069-17-54.936W;-4.34
209;48-03-17.180N;069-17-54.513W;-4.49
210;48-03-17.307N;069-17-54.230W;-4.54
211;48-03-17.109N;069-17-53.744W;-4.67
212;48-03-17.398N;069-17-53.463W;-4.64
213;48-03-17.428N;069-17-53.237W;-4.65
214;48-03-17.235N;069-17-52.648W;-4.76
215;48-03-17.145N;069-17-52.384W;-4.85
216;48-03-17.254N;069-17-52.182W;-4.86
217;48-03-17.237N;069-17-51.765W;-4.96
218;48-03-17.399N;069-17-51.469W;-5.01
219;48-03-17.517N;069-17-59.496W;-4.05
220;48-03-17.658N;069-17-59.380W;-4.02
221;48-03-17.511N;069-17-58.971W;-4.07
222;48-03-17.682N;069-17-58.417W;-4.13
223;48-03-17.679N;069-17-58.171W;-4.1
224;48-03-17.783N;069-17-57.897W;-4.2
225;48-03-17.629N;069-17-57.328W;-4.21
226;48-03-17.594N;069-17-56.987W;-4.26
227;48-03-17.626N;069-17-56.894W;-4.22
228;48-03-17.768N;069-17-56.269W;-4.19
229;48-03-17.817N;069-17-55.863W;-4.11
230;48-03-17.663N;069-17-55.532W;-4.29
231;48-03-17.624N;069-17-55.292W;-4.19
232;48-03-17.461N;069-17-54.896W;-4.26
233;48-03-17.761N;069-17-54.580W;-4.38
234;48-03-17.787N;069-17-54.123W;-4.47
235;48-03-17.688N;069-17-53.903W;-4.38
236;48-03-17.623N;069-17-53.416W;-4.58
237;48-03-17.614N;069-17-53.317W;-4.55
238;48-03-17.561N;069-17-52.647W;-4.6
239;48-03-17.561N;069-17-52.401W;-4.66
240;48-03-17.521N;069-17-52.212W;-4.76
241;48-03-17.558N;069-17-51.863W;-4.85
242;48-03-17.675N;069-17-51.268W;-5.06
243;48-03-17.723N;069-17-50.989W;-4.93
244;48-03-17.835N;069-17-59.730W;-4.02
245;48-03-17.914N;069-17-59.178W;-4.02
246;48-03-17.959N;069-17-58.926W;-4.02
247;48-03-17.873N;069-17-58.559W;-4.09
248;48-03-18.174N;069-17-58.102W;-4.06
249;48-03-17.823N;069-17-57.661W;-4.26
250;48-03-18.017N;069-17-57.316W;-4.16
251;48-03-17.855N;069-17-57.231W;-4.14
252;48-03-17.824N;069-17-56.872W;-4.2
253;48-03-18.143N;069-17-56.412W;-4.06
254;48-03-18.003N;069-17-56.124W;-4.0
255;48-03-18.001N;069-17-55.574W;-3.9
256;48-03-18.069N;069-17-55.457W;-4.17
257;48-03-18.074N;069-17-54.822W;-4.22
258;48-03-18.012N;069-17-54.745W;-4.24
259;48-03-17.996N;069-17-54.413W;-4.26
260;48-03-17.859N;069-17-53.842W;-4.5
261;48-03-17.894N;069-17-53.580W;-4.41
262;48-03-18.046N;069-17-53.152W;-4.58
263;48-03-17.939N;069-17-52.880W;-4.59
264;48-03-17.905N;069-17-52.349W;-4.64
265;48-03-17.838N;069-17-51.920W;-4.7
266;48-03-18.003N;069-17-51.568W;-4.59
