;Lat (DMS);Long (DMS);Depth (m)
0;47-48-01.254N;069-35-51.697W;0.0
1;47-48-03.940N;069-35-49.413W;-0.61
2;47-48-05.040N;069-35-40.421W;-0.91
3;47-48-06.087N;069-35-54.036W;0.3
4;47-48-06.918N;069-35-46.521W;-0.3
5;47-48-08.006N;069-35-38.938W;-0.61
6;47-48-08.278N;069-35-52.359W;0.61
7;47-48-09.798N;069-35-45.466W;0.0
8;47-48-10.282N;069-35-58.643W;0.91
9;47-48-11.452N;069-35-51.006W;0.61
10;47-48-11.383N;069-35-37.401W;-0.91
11;47-48-12.895N;069-35-43.127W;-0.3
12;47-48-13.172N;069-35-56.856W;1.22
13;47-48-14.553N;069-35-48.486W;0.61
14;47-48-14.803N;069-35-35.742W;-0.61
15;47-48-16.358N;069-35-41.224W;0.0
16;47-48-16.724N;069-35-54.530W;0.91
17;47-48-17.770N;069-35-46.888W;0.61
18;47-48-17.565N;069-35-34.317W;-0.61
19;47-48-18.669N;069-35-39.670W;0.0
20;47-48-19.122N;069-35-52.673W;0.91
21;47-48-20.224N;069-35-58.697W;1.83
22;47-48-20.292N;069-35-44.909W;0.91
23;47-48-20.494N;069-35-32.466W;-0.61
24;47-48-21.521N;069-35-50.570W;1.22
25;47-48-22.197N;069-35-39.913W;0.0
26;47-48-23.168N;069-35-55.317W;2.13
27;47-48-23.835N;069-35-30.561W;-0.61
28;47-48-24.263N;069-35-46.818W;1.22
29;47-48-26.023N;069-35-37.102W;0.3
30;47-48-26.508N;069-35-53.905W;1.83
31;47-48-27.212N;069-35-29.209W;-0.61
32;47-48-27.776N;069-35-44.182W;1.52
33;47-48-28.502N;069-35-35.367W;0.61
34;47-48-29.357N;069-35-52.178W;1.83
35;47-48-30.212N;069-35-58.260W;3.96
36;47-48-30.303N;069-35-27.791W;-0.91
37;47-48-31.438N;069-35-53.992W;2.44
38;47-48-31.322N;069-35-42.588W;1.52
39;47-48-31.676N;069-35-34.134W;0.61
40;47-48-32.543N;069-35-49.353W;1.83
41;47-48-32.945N;069-35-26.181W;-0.91
42;47-48-33.765N;069-35-40.240W;1.52
43;47-48-34.091N;069-35-56.183W;2.44
44;47-48-34.261N;069-35-50.424W;2.44
45;47-48-34.564N;069-35-32.528W;0.91
46;47-48-35.557N;069-35-47.505W;2.13
47;47-48-35.954N;069-35-24.823W;-0.61
48;47-48-37.191N;069-35-53.907W;2.44
49;47-48-37.347N;069-35-39.382W;1.83
50;47-48-37.956N;069-35-45.462W;2.13
51;47-48-37.868N;069-35-30.378W;0.61
52;47-48-39.202N;069-35-59.274W;3.05
53;47-48-39.333N;069-35-23.595W;-1.52
54;47-48-39.433N;069-35-40.644W;1.83
55;47-48-39.800N;069-35-51.256W;2.74
56;47-48-39.908N;069-35-37.648W;1.83
57;47-48-40.968N;069-35-43.920W;2.13
58;47-48-40.917N;069-35-29.388W;1.22
59;47-48-41.604N;069-35-56.925W;3.35
60;47-48-42.550N;069-35-36.099W;1.83
61;47-48-42.393N;069-35-21.136W;-1.52
62;47-48-42.937N;069-35-49.532W;3.05
63;47-48-43.704N;069-35-11.653W;-1.22
64;47-48-43.861N;069-35-41.885W;2.13
65;47-48-43.893N;069-35-27.232W;1.22
66;47-48-45.230N;069-35-55.639W;3.66
67;47-48-45.216N;069-35-47.119W;3.05
68;47-48-45.399N;069-35-34.309W;1.83
69;47-48-45.338N;069-35-17.693W;0.0
70;47-48-46.020N;069-35-04.888W;-0.91
71;47-48-46.873N;069-35-24.462W;1.22
72;47-48-47.558N;069-35-52.308W;3.35
73;47-48-47.495N;069-35-39.557W;2.44
74;47-48-47.365N;069-35-11.167W;-0.3
75;47-48-48.597N;069-35-45.645W;3.05
76;47-48-48.912N;069-35-31.856W;1.83
77;47-48-49.063N;069-35-17.693W;0.3
78;47-48-49.150N;069-35-03.963W;-1.52
79;47-48-50.018N;069-35-58.112W;3.96
80;47-48-50.095N;069-35-38.130W;2.44
81;47-48-50.006N;069-35-23.290W;1.52
82;47-48-50.646N;069-35-51.504W;3.66
83;47-48-50.786N;069-35-09.881W;-0.3
84;47-48-51.653N;069-35-43.797W;3.35
85;47-48-51.558N;069-35-29.878W;2.13
86;47-48-52.120N;069-35-15.783W;0.3
87;47-48-52.376N;069-35-01.385W;-1.52
88;47-48-53.030N;069-35-56.509W;3.66
89;47-48-53.198N;069-35-35.548W;2.74
90;47-48-53.584N;069-35-48.980W;3.96
91;47-48-53.771N;069-35-25.440W;1.52
92;47-48-53.677N;069-35-21.637W;1.52
93;47-48-53.555N;069-35-07.907W;-0.3
94;47-48-54.857N;069-35-28.463W;2.13
95;47-48-54.639N;069-35-14.233W;0.3
96;47-48-55.231N;069-35-53.728W;3.96
97;47-48-54.925N;069-35-40.604W;3.35
98;47-48-55.132N;069-35-01.129W;-1.22
99;47-48-55.577N;069-35-06.840W;-0.3
100;47-48-55.966N;069-35-33.756W;2.74
101;47-48-56.277N;069-35-46.268W;3.96
102;47-48-55.985N;069-35-36.577W;2.74
103;47-48-56.071N;069-35-20.452W;1.52
104;47-48-56.391N;069-35-42.347W;3.35
105;47-48-57.013N;069-35-56.884W;4.27
106;47-48-56.976N;069-35-11.649W;0.0
107;47-48-57.361N;069-35-39.175W;3.05
108;47-48-57.839N;069-35-51.260W;3.96
109;47-48-58.120N;069-35-16.011W;0.91
110;47-48-58.021N;069-34-59.650W;-0.61
111;47-48-58.265N;069-35-44.341W;3.66
112;47-48-58.329N;069-35-25.948W;2.13
113;47-48-58.598N;069-35-04.382W;-0.3
114;47-48-58.994N;069-35-30.252W;2.44
115;47-48-59.266N;069-35-21.856W;1.52
116;47-48-59.985N;069-35-55.220W;4.27
117;47-48-59.942N;069-35-08.990W;0.3
118;47-49-00.647N;069-35-49.592W;3.66
119;47-49-00.461N;069-35-36.961W;3.05
120;47-49-00.396N;069-34-55.708W;-1.22
121;47-49-00.844N;069-35-14.586W;1.22
122;47-49-01.208N;069-35-01.916W;-0.3
123;47-49-01.905N;069-35-41.339W;3.35
124;47-49-02.386N;069-35-27.552W;2.13
125;47-49-02.264N;069-35-22.154W;2.13
126;47-49-02.587N;069-35-33.197W;2.44
127;47-49-02.552N;069-35-06.644W;0.3
128;47-49-02.868N;069-35-54.350W;3.66
129;47-49-03.042N;069-34-48.890W;-1.52
130;47-49-03.752N;069-35-46.765W;3.66
131;47-49-03.693N;069-35-13.042W;1.22
132;47-49-03.897N;069-34-54.791W;-0.61
133;47-49-04.188N;069-35-38.558W;2.74
134;47-49-04.645N;069-35-58.242W;3.96
135;47-49-05.222N;069-35-22.390W;2.13
136;47-49-05.206N;069-35-00.518W;0.0
137;47-49-05.521N;069-35-51.578W;3.96
138;47-49-05.634N;069-34-48.509W;-1.83
139;47-49-05.729N;069-35-05.167W;0.61
140;47-49-06.014N;069-34-52.256W;-0.61
141;47-49-06.285N;069-35-43.561W;3.05
142;47-49-06.071N;069-34-45.451W;-1.52
143;47-49-06.680N;069-35-40.379W;3.05
144;47-49-06.720N;069-35-35.476W;3.35
145;47-49-06.478N;069-35-19.468W;1.83
146;47-49-07.076N;069-35-27.021W;2.44
147;47-49-06.832N;069-35-11.196W;1.22
148;47-49-07.309N;069-35-23.591W;2.44
149;47-49-07.545N;069-35-55.351W;3.96
150;47-49-07.856N;069-34-58.176W;0.0
