;Lat (DMS);Long (DMS);Depth (m)
0;47-42-00.360N;069-59-59.640W;83.15
1;47-42-00.360N;069-59-59.280W;83.32
2;47-42-00.360N;069-59-58.920W;83.77
3;47-42-00.360N;069-59-58.560W;84.1
4;47-42-00.360N;069-59-58.200W;84.86
5;47-42-00.360N;069-59-57.840W;85.3
6;47-42-00.360N;069-59-57.480W;86.0
7;47-42-00.360N;069-59-57.120W;86.56
8;47-42-00.360N;069-59-56.760W;87.27
9;47-42-00.360N;069-59-56.400W;87.65
10;47-42-00.360N;069-59-56.040W;88.9
11;47-42-00.360N;069-59-55.680W;89.22
12;47-42-00.360N;069-59-55.320W;89.78
13;47-42-00.360N;069-59-54.960W;89.8
14;47-42-00.360N;069-59-54.600W;89.65
15;47-42-00.360N;069-59-54.240W;89.4
16;47-42-00.360N;069-59-53.880W;89.63
17;47-42-00.360N;069-59-53.520W;89.57
18;47-42-00.360N;069-59-53.160W;89.56
19;47-42-00.360N;069-59-52.800W;89.6
20;47-42-00.360N;069-59-52.440W;89.93
21;47-42-00.360N;069-59-52.080W;89.98
22;47-42-00.360N;069-59-51.720W;90.22
23;47-42-00.360N;069-59-51.360W;90.41
24;47-42-00.360N;069-59-51.000W;90.68
25;47-42-00.360N;069-59-50.640W;90.75
26;47-42-00.360N;069-59-50.280W;91.36
27;47-42-00.360N;069-59-49.920W;91.79
28;47-42-00.360N;069-59-49.560W;92.89
29;47-42-00.360N;069-59-49.200W;92.85
30;47-42-00.360N;069-59-48.840W;93.27
31;47-42-00.360N;069-59-48.480W;93.33
32;47-42-00.360N;069-59-48.120W;93.33
33;47-42-00.360N;069-59-47.760W;93.35
34;47-42-00.360N;069-59-47.400W;93.33
35;47-42-00.360N;069-59-47.040W;92.97
36;47-42-00.360N;069-59-46.680W;92.61
37;47-42-00.360N;069-59-46.320W;92.48
38;47-42-00.360N;069-59-45.960W;91.33
39;47-42-00.360N;069-59-45.600W;90.77
40;47-42-00.360N;069-59-45.240W;90.44
41;47-42-00.360N;069-59-44.880W;90.24
42;47-42-00.360N;069-59-44.520W;90.6
43;47-42-00.360N;069-59-44.160W;90.62
44;47-42-00.360N;069-59-43.800W;90.9
45;47-42-00.360N;069-59-43.440W;91.22
46;47-42-00.360N;069-59-43.080W;91.71
47;47-42-00.360N;069-59-42.720W;92.05
48;47-42-00.360N;069-59-42.360W;92.24
49;47-42-00.360N;069-59-42.000W;92.46
50;47-42-00.360N;069-59-41.640W;92.57
51;47-42-00.360N;069-59-41.280W;92.37
52;47-42-00.360N;069-59-40.920W;92.56
53;47-42-00.360N;069-59-40.560W;92.37
54;47-42-00.360N;069-59-40.200W;92.74
55;47-42-00.360N;069-59-39.840W;92.77
56;47-42-00.360N;069-59-39.480W;92.72
57;47-42-00.360N;069-59-39.120W;92.73
58;47-42-00.360N;069-59-38.760W;93.09
59;47-42-00.360N;069-59-38.400W;93.0
60;47-42-00.360N;069-59-38.040W;93.08
61;47-42-00.360N;069-59-37.680W;93.0
62;47-42-00.360N;069-59-37.320W;92.8
