;Lat (DMS);Long (DMS);Depth (m)
0;48-01-24.763N;069-20-57.971W;-1.24
1;48-01-24.565N;069-20-57.589W;-1.16
2;48-01-24.562N;069-20-57.300W;-1.13
3;48-01-25.088N;069-20-58.060W;-1.25
4;48-01-25.020N;069-20-57.772W;-1.54
5;48-01-25.083N;069-20-57.578W;-1.18
6;48-01-24.950N;069-20-57.291W;-1.1
7;48-01-25.138N;069-20-56.611W;-1.44
8;48-01-25.137N;069-20-56.515W;-1.48
9;48-01-25.482N;069-20-58.631W;-1.58
10;48-01-25.479N;069-20-58.341W;-1.6
11;48-01-25.475N;069-20-57.955W;-1.4
12;48-01-25.148N;069-20-57.576W;-1.21
13;48-01-25.207N;069-20-56.996W;-1.15
14;48-01-25.204N;069-20-56.706W;-2.4
15;48-01-25.202N;069-20-56.513W;-1.45
16;48-01-25.456N;069-20-56.025W;-1.43
17;48-01-25.808N;069-20-58.817W;-1.65
18;48-01-25.804N;069-20-58.431W;-1.73
19;48-01-25.544N;069-20-58.340W;-1.63
20;48-01-25.540N;069-20-57.954W;-1.39
21;48-01-25.534N;069-20-57.375W;-1.05
22;48-01-25.854N;069-20-56.981W;-1.38
23;48-01-25.656N;069-20-56.600W;-1.38
24;48-01-25.653N;069-20-56.310W;-1.42
25;48-01-25.846N;069-20-56.209W;-1.44
26;48-01-26.002N;069-20-58.812W;-1.91
27;48-01-26.001N;069-20-58.716W;-1.74
28;48-01-25.868N;069-20-58.333W;-1.63
29;48-01-25.864N;069-20-57.947W;-1.22
30;48-01-26.184N;069-20-57.553W;-1.36
31;48-01-25.919N;069-20-56.980W;-1.38
32;48-01-26.174N;069-20-56.588W;-1.4
33;48-01-25.977N;069-20-56.303W;-1.41
34;48-01-25.911N;069-20-56.208W;-1.43
35;48-01-26.524N;069-20-59.187W;-1.48
36;48-01-26.261N;069-20-58.807W;-1.69
37;48-01-26.260N;069-20-58.710W;-1.69
38;48-01-26.580N;069-20-58.317W;-1.57
39;48-01-26.576N;069-20-57.931W;-1.25
40;48-01-26.570N;069-20-57.352W;-1.3
41;48-01-26.568N;069-20-57.159W;-1.39
42;48-01-26.239N;069-20-56.587W;-1.42
43;48-01-26.238N;069-20-56.490W;-1.41
44;48-01-26.235N;069-20-56.201W;-1.42
45;48-01-26.653N;069-20-59.184W;-1.51
46;48-01-26.908N;069-20-58.792W;-1.59
47;48-01-26.843N;069-20-58.697W;-1.6
48;48-01-26.645N;069-20-58.315W;-1.57
49;48-01-26.641N;069-20-57.929W;-1.47
50;48-01-26.635N;069-20-57.350W;-1.36
51;48-01-26.893N;069-20-57.248W;-1.36
52;48-01-26.629N;069-20-56.771W;-1.46
53;48-01-26.624N;069-20-56.288W;-1.41
54;48-01-26.687N;069-20-56.094W;-1.43
55;48-01-27.106N;069-20-59.174W;-1.42
56;48-01-27.038N;069-20-58.789W;-1.6
57;48-01-27.037N;069-20-58.693W;-1.61
58;48-01-27.033N;069-20-58.307W;-1.52
59;48-01-27.288N;069-20-57.915W;-1.49
60;48-01-27.089N;069-20-57.437W;-1.51
61;48-01-27.281N;069-20-57.239W;-1.41
62;48-01-27.082N;069-20-56.761W;-1.47
63;48-01-26.949N;069-20-56.378W;-1.38
64;48-01-27.139N;069-20-55.987W;-1.41
65;48-01-27.562N;069-20-59.357W;-1.47
66;48-01-27.362N;069-20-58.782W;-1.56
67;48-01-27.360N;069-20-58.589W;-1.62
68;48-01-27.484N;069-20-58.104W;-1.77
69;48-01-27.613N;069-20-58.004W;-1.56
70;48-01-27.543N;069-20-57.523W;-1.47
71;48-01-27.411N;069-20-57.236W;-1.45
72;48-01-27.601N;069-20-56.846W;-1.41
73;48-01-27.532N;069-20-56.365W;-1.43
74;48-01-27.465N;069-20-56.173W;-1.26
75;48-01-28.017N;069-20-59.540W;-1.57
76;48-01-27.691N;069-20-59.354W;-1.44
77;48-01-27.685N;069-20-58.775W;-1.59
78;48-01-28.006N;069-20-58.478W;-1.63
79;48-01-27.938N;069-20-58.190W;-1.63
80;48-01-27.872N;069-20-57.998W;-1.64
81;48-01-27.932N;069-20-57.514W;-1.65
82;48-01-27.994N;069-20-57.223W;-1.48
83;48-01-27.666N;069-20-56.845W;-1.41
84;48-01-27.663N;069-20-56.555W;-1.42
85;48-01-27.724N;069-20-56.167W;-1.02
86;48-01-28.212N;069-20-59.632W;-1.65
87;48-01-28.272N;069-20-59.148W;-1.5
88;48-01-28.333N;069-20-58.760W;-1.56
89;48-01-28.071N;069-20-58.477W;-1.63
90;48-01-28.196N;069-20-58.088W;-1.68
91;48-01-28.196N;069-20-57.991W;-1.7
92;48-01-28.192N;069-20-57.605W;-1.67
93;48-01-28.058N;069-20-57.222W;-1.5
94;48-01-28.120N;069-20-56.931W;-1.44
95;48-01-28.052N;069-20-56.546W;-1.15
96;48-01-28.174N;069-20-55.868W;-1.22
97;48-01-28.406N;069-20-59.628W;-1.58
98;48-01-28.660N;069-20-59.139W;-1.51
99;48-01-28.721N;069-20-58.752W;-1.63
100;48-01-28.720N;069-20-58.655W;-1.64
101;48-01-28.650N;069-20-58.078W;-1.67
102;48-01-28.649N;069-20-57.981W;-1.68
103;48-01-28.451N;069-20-57.599W;-1.63
104;48-01-28.576N;069-20-57.210W;-1.52
105;48-01-28.444N;069-20-56.924W;-1.3
106;48-01-28.697N;069-20-56.339W;-0.85
