;Lat (DMS);Long (DMS);Depth (m)
0;47-42-00.444N;070-00-20.056W;4.82
1;47-42-00.525N;070-00-19.959W;4.69
2;47-42-00.539N;070-00-19.527W;7.78
3;47-42-00.505N;070-00-19.240W;9.8
4;47-42-00.536N;070-00-18.784W;11.92
5;47-42-00.502N;070-00-18.496W;13.49
6;47-42-00.501N;070-00-18.064W;15.86
7;47-42-00.531N;070-00-17.776W;17.3
8;47-42-00.465N;070-00-17.321W;20.93
9;47-42-00.512N;070-00-17.033W;22.45
10;47-42-00.397N;070-00-16.722W;25.08
11;47-42-00.509N;070-00-16.290W;27.15
12;47-42-00.492N;070-00-15.978W;28.89
13;47-42-00.441N;070-00-15.643W;31.05
14;47-42-00.520N;070-00-15.234W;32.33
15;47-42-00.422N;070-00-14.923W;34.13
16;47-42-00.452N;070-00-14.491W;36.0
17;47-42-00.500N;070-00-14.203W;37.51
18;47-42-00.498N;070-00-13.795W;39.94
19;47-42-00.513N;070-00-13.483W;41.92
20;47-42-00.414N;070-00-13.077W;45.26
21;47-42-00.526N;070-00-12.716W;46.97
22;47-42-00.443N;070-00-12.405W;49.63
23;47-42-00.474N;070-00-12.045W;51.84
24;47-42-00.408N;070-00-11.662W;55.23
25;47-42-00.487N;070-00-11.229W;57.88
26;47-42-00.534N;070-00-10.941W;59.85
27;47-42-00.484N;070-00-10.558W;62.4
28;47-42-00.417N;070-00-10.222W;64.76
29;47-42-00.360N;070-00-09.720W;68.31
30;47-42-00.360N;070-00-09.360W;69.78
31;47-42-00.360N;070-00-09.000W;72.92
32;47-42-00.360N;070-00-08.640W;74.25
33;47-42-00.360N;070-00-08.280W;77.09
34;47-42-00.360N;070-00-07.920W;78.12
35;47-42-00.360N;070-00-07.560W;80.16
36;47-42-00.360N;070-00-07.200W;81.46
37;47-42-00.360N;070-00-06.840W;81.91
38;47-42-00.360N;070-00-06.480W;82.13
39;47-42-00.360N;070-00-06.120W;82.4
40;47-42-00.360N;070-00-05.760W;82.46
41;47-42-00.360N;070-00-05.400W;82.74
42;47-42-00.360N;070-00-05.040W;82.84
43;47-42-00.360N;070-00-04.680W;83.02
44;47-42-00.360N;070-00-04.320W;82.96
45;47-42-00.360N;070-00-03.960W;82.96
46;47-42-00.360N;070-00-03.600W;82.91
47;47-42-00.360N;070-00-03.240W;82.9
48;47-42-00.360N;070-00-02.880W;82.81
49;47-42-00.360N;070-00-02.520W;82.77
50;47-42-00.360N;070-00-02.160W;82.67
51;47-42-00.360N;070-00-01.800W;82.61
52;47-42-00.360N;070-00-01.440W;82.57
53;47-42-00.360N;070-00-01.080W;82.56
54;47-42-00.360N;070-00-00.720W;82.57
55;47-42-00.360N;070-00-00.360W;82.72
56;47-42-00.360N;070-00-00.000W;82.88
57;47-42-00.863N;070-00-19.668W;4.11
58;47-42-00.847N;070-00-19.524W;5.23
59;47-42-00.813N;070-00-19.237W;7.65
60;47-42-00.859N;070-00-18.757W;10.27
61;47-42-00.826N;070-00-18.469W;11.87
62;47-42-00.727N;070-00-18.158W;14.0
63;47-42-00.855N;070-00-17.749W;15.33
64;47-42-00.757N;070-00-17.438W;18.07
65;47-42-00.803N;070-00-17.030W;20.54
66;47-42-00.883N;070-00-16.718W;22.18
67;47-42-00.865N;070-00-16.310W;24.86
68;47-42-00.815N;070-00-15.903W;27.37
69;47-42-00.862N;070-00-15.615W;28.55
70;47-42-00.844N;070-00-15.183W;30.84
71;47-42-00.843N;070-00-14.847W;32.67
72;47-42-00.857N;070-00-14.463W;34.7
73;47-42-00.694N;070-00-14.201W;36.74
74;47-42-00.838N;070-00-13.744W;38.81
75;47-42-00.820N;070-00-13.456W;40.81
76;47-42-00.657N;070-00-13.098W;43.53
77;47-42-00.801N;070-00-12.737W;46.21
78;47-42-00.637N;070-00-12.355W;49.29
79;47-42-00.620N;070-00-12.019W;52.0
80;47-42-00.651N;070-00-11.635W;55.33
81;47-42-00.843N;070-00-11.226W;57.93
82;47-42-00.809N;070-00-10.914W;59.91
83;47-42-00.840N;070-00-10.578W;62.03
84;47-42-00.628N;070-00-10.220W;64.21
85;47-42-00.886N;070-00-09.882W;65.54
86;47-42-00.836N;070-00-09.523W;67.66
87;47-42-00.720N;070-00-09.000W;71.41
88;47-42-00.720N;070-00-08.640W;73.18
89;47-42-00.720N;070-00-08.280W;75.68
90;47-42-00.720N;070-00-07.920W;76.73
91;47-42-00.720N;070-00-07.560W;79.27
92;47-42-00.720N;070-00-07.200W;79.59
93;47-42-00.720N;070-00-06.840W;80.61
94;47-42-00.720N;070-00-06.480W;80.93
95;47-42-00.720N;070-00-06.120W;81.22
96;47-42-00.720N;070-00-05.760W;81.38
97;47-42-00.720N;070-00-05.400W;81.61
