;Lat (DMS);Long (DMS);Depth (m)
0;47-36-45.937N;069-47-58.875W;-2.7
1;47-36-50.481N;069-47-34.352W;-2.4
2;47-36-53.073N;069-47-37.397W;-2.4
3;47-36-55.857N;069-47-40.587W;-2.4
4;47-36-56.378N;069-47-21.132W;-2.7
5;47-36-58.202N;069-47-44.273W;-2.1
6;47-36-58.755N;069-47-34.406W;-2.7
7;47-36-59.444N;069-47-25.615W;-2.7
8;47-36-59.867N;069-47-55.461W;-2.4
9;47-37-01.377N;069-47-46.969W;-2.7
10;47-37-01.827N;069-47-37.887W;-2.4
11;47-37-02.083N;069-47-28.875W;-2.4
12;47-37-02.702N;069-47-59.469W;-1.5
13;47-37-04.155N;069-47-51.018W;-1.8
14;47-37-04.411N;069-47-42.077W;-2.4
15;47-37-04.648N;069-47-21.829W;-2.7
16;47-37-05.055N;069-47-32.855W;-2.4
17;47-37-06.741N;069-47-54.993W;-1.8
18;47-37-06.733N;069-47-14.131W;-2.7
19;47-37-07.291N;069-47-45.341W;-2.1
20;47-37-07.738N;069-47-36.689W;-2.1
21;47-37-07.763N;069-47-26.169W;-2.4
22;47-37-09.804N;069-47-58.816W;-1.5
23;47-37-10.457N;069-47-49.325W;-2.1
24;47-37-10.569N;069-47-40.166W;-2.1
25;47-37-10.428N;069-47-18.552W;-2.4
26;47-37-11.220N;069-47-30.086W;-2.4
27;47-37-11.119N;069-47-09.545W;-2.7
28;47-37-13.089N;069-47-32.547W;-2.7
29;47-37-13.497N;069-47-43.574W;-1.8
30;47-37-13.861N;069-47-53.814W;-2.1
31;47-37-13.683N;069-47-23.610W;-2.1
32;47-37-14.137N;069-47-13.956W;-2.4
33;47-37-14.029N;069-47-03.220W;-2.1
34;47-37-14.911N;069-47-34.937W;-2.1
35;47-37-15.288N;069-46-54.371W;-2.4
36;47-37-15.982N;069-47-05.897W;-1.8
37;47-37-16.231N;069-47-47.122W;-1.5
38;47-37-16.966N;069-47-57.740W;-1.8
39;47-37-17.094N;069-47-27.168W;-1.8
40;47-37-17.832N;069-47-39.418W;-2.1
41;47-37-17.688N;069-47-18.160W;-2.1
42;47-37-17.995N;069-47-08.790W;-2.1
43;47-37-18.528N;069-46-58.853W;-2.1
44;47-37-18.676N;069-47-50.309W;-1.5
45;47-37-19.029N;069-46-49.348W;-2.4
46;47-37-19.925N;069-47-31.935W;-1.5
47;47-37-20.164N;069-47-11.255W;-1.8
48;47-37-20.716N;069-47-22.500W;-1.8
49;47-37-21.418N;069-47-54.000W;-1.2
50;47-37-21.391N;069-47-43.837W;-1.8
51;47-37-21.459N;069-46-52.609W;-2.1
52;47-37-21.608N;069-47-02.688W;-1.8
53;47-37-22.127N;069-47-14.362W;-1.8
54;47-37-22.607N;069-47-35.983W;-1.5
55;47-37-23.458N;069-46-55.218W;-1.8
56;47-37-24.021N;069-47-27.345W;-1.5
57;47-37-24.197N;069-47-57.764W;-1.5
58;47-37-24.354N;069-47-07.024W;-1.8
59;47-37-24.622N;069-47-17.406W;-1.8
60;47-37-24.550N;069-46-46.931W;-2.1
61;47-37-24.798N;069-47-47.968W;-1.8
62;47-37-25.247N;069-47-38.957W;-1.2
63;47-37-25.510N;069-46-58.071W;-1.8
64;47-37-26.329N;069-46-49.860W;-2.1
65;47-37-26.727N;069-47-20.873W;-1.5
