;Lat (DMS);Long (DMS);Depth (m)
201;47-43-46.918N;069-40-17.788W;-0.6
202;47-43-47.356N;069-41-50.340W;1.8
203;47-43-47.149N;069-41-43.563W;1.5
204;47-43-47.449N;069-40-32.346W;-0.0
205;47-43-47.750N;069-41-56.570W;1.5
206;47-43-47.513N;069-40-42.696W;-1.2
207;47-43-48.037N;069-41-08.700W;0.9
208;47-43-48.017N;069-40-51.398W;0.3
209;47-43-48.624N;069-41-03.490W;0.9
210;47-43-48.674N;069-40-40.755W;-0.0
211;47-43-49.190N;069-41-22.719W;1.2
212;47-43-48.923N;069-41-15.486W;0.9
213;47-43-49.184N;069-40-21.113W;-0.3
214;47-43-49.514N;069-40-59.291W;0.9
215;47-43-49.289N;069-40-34.754W;-0.3
216;47-43-49.280N;069-40-15.255W;-0.3
217;47-43-49.902N;069-41-47.903W;1.8
218;47-43-49.795N;069-41-35.176W;1.5
219;47-43-49.647N;069-41-28.950W;1.2
220;47-43-49.885N;069-40-48.860W;0.3
221;47-43-49.671N;069-40-29.035W;-0.0
222;47-43-50.065N;069-41-41.405W;1.8
223;47-43-50.478N;069-41-54.776W;1.8
224;47-43-50.620N;069-40-06.849W;-4.9
225;47-43-50.950N;069-41-06.999W;0.9
226;47-43-50.707N;069-40-27.141W;-0.0
227;47-43-51.396N;069-40-12.445W;-0.3
228;47-43-51.527N;069-41-13.781W;1.2
229;47-43-51.572N;069-40-45.586W;0.3
230;47-43-51.882N;069-41-27.057W;1.2
231;47-43-52.045N;069-41-20.376W;1.2
232;47-43-51.938N;069-40-56.668W;0.6
233;47-43-52.242N;069-41-38.871W;1.5
234;47-43-52.218N;069-41-32.645W;1.2
235;47-43-52.187N;069-40-25.088W;-0.3
236;47-43-52.781N;069-41-51.878W;1.8
237;47-43-52.813N;069-40-15.019W;-0.0
238;47-43-52.594N;069-40-08.249W;-0.3
239;47-43-52.880N;069-41-45.746W;1.8
240;47-43-53.124N;069-41-04.922W;0.9
241;47-43-53.188N;069-40-33.432W;-0.3
242;47-43-53.003N;069-40-20.613W;-0.0
243;47-43-53.430N;069-41-58.936W;1.8
244;47-43-53.564N;069-40-53.210W;0.9
245;47-43-53.879N;069-40-41.863W;0.3
246;47-43-54.012N;069-41-11.433W;0.9
247;47-43-54.342N;069-41-30.752W;1.2
248;47-43-54.466N;069-41-18.031W;1.2
249;47-43-54.349N;069-40-04.225W;-0.0
250;47-43-54.863N;069-41-36.526W;1.2
251;47-43-54.873N;069-41-24.626W;1.5
252;47-43-55.002N;069-41-00.644W;0.9
253;47-43-54.934N;069-40-11.605W;-0.0
254;47-43-54.755N;069-39-59.764W;-0.9
255;47-43-55.192N;069-41-43.305W;1.8
256;47-43-55.182N;069-40-30.345W;-0.3
257;47-43-55.137N;069-39-47.227W;-1.2
258;47-43-55.401N;069-41-49.624W;1.8
259;47-43-55.684N;069-40-49.942W;1.2
260;47-43-55.586N;069-40-19.138W;-0.0
261;47-43-55.791N;069-41-56.587W;1.8
262;47-43-55.816N;069-40-38.134W;0.3
263;47-43-55.970N;069-40-25.904W;-0.0
264;47-43-55.776N;069-39-54.101W;-0.9
265;47-43-56.312N;069-41-08.992W;1.2
266;47-43-56.811N;069-40-08.642W;-0.0
267;47-43-57.073N;069-41-15.868W;0.9
268;47-43-56.872N;069-40-57.831W;1.2
269;47-43-57.492N;069-41-40.956W;1.5
270;47-43-57.345N;069-41-34.637W;1.5
271;47-43-57.506N;069-41-28.414W;1.2
272;47-43-57.419N;069-41-22.371W;1.2
273;47-43-57.434N;069-40-46.486W;0.9
274;47-43-57.467N;069-40-15.668W;-0.0
275;47-43-57.193N;069-39-44.049W;-0.9
276;47-43-57.638N;069-41-47.457W;2.1
277;47-43-57.872N;069-40-35.049W;0.3
278;47-43-57.629N;069-40-02.820W;-0.3
279;47-43-57.894N;069-39-51.016W;-0.6
280;47-43-57.940N;069-41-05.260W;1.2
281;47-43-58.224N;069-40-27.729W;-1.2
282;47-43-58.147N;069-40-23.964W;-0.0
283;47-43-58.160N;069-39-58.434W;-0.3
284;47-43-58.277N;069-41-54.057W;1.8
285;47-43-58.928N;069-40-54.928W;1.5
286;47-43-59.251N;069-41-13.242W;1.2
287;47-43-59.248N;069-40-42.573W;0.6
288;47-43-59.246N;069-40-31.253W;-0.0
289;47-43-59.313N;069-39-40.688W;-0.6
290;47-43-59.343N;069-41-20.839W;1.2
291;47-43-59.548N;069-40-12.964W;-0.0
292;47-43-59.640N;069-39-48.108W;-0.6
293;47-43-59.438N;069-39-18.902W;-1.2
294;47-43-59.986N;069-41-26.799W;1.2
295;47-43-59.990N;069-41-03.090W;1.2
296;47-44-00.160N;069-41-38.885W;1.5
297;47-44-00.141N;069-41-31.927W;1.5
298;47-44-00.108N;069-40-07.842W;-0.0
299;47-44-00.579N;069-41-51.341W;2.1
300;47-44-00.553N;069-41-45.482W;1.8
301;47-44-00.471N;069-40-20.757W;-0.0
302;47-44-00.463N;069-39-55.442W;-0.3
303;47-44-00.832N;069-41-19.669W;1.2
304;47-44-00.862N;069-40-51.657W;0.9
305;47-44-00.874N;069-40-39.115W;0.6
306;47-44-01.002N;069-40-27.948W;0.6
307;47-44-00.901N;069-40-02.862W;-0.3
308;47-44-01.338N;069-41-58.492W;2.1
309;47-44-01.184N;069-41-10.064W;1.2
310;47-44-01.234N;069-39-07.206W;-1.2
311;47-44-01.775N;069-39-52.713W;-0.3
312;47-44-01.864N;069-40-59.636W;1.5
313;47-44-01.996N;069-40-47.828W;0.9
314;47-44-02.113N;069-40-17.526W;0.3
315;47-44-02.191N;069-39-44.936W;-0.3
316;47-44-01.978N;069-39-38.983W;-0.3
317;47-44-01.944N;069-39-34.130W;-0.6
318;47-44-02.555N;069-41-18.321W;1.2
319;47-44-02.383N;069-39-22.234W;-0.9
320;47-44-02.301N;069-39-15.001W;-0.9
321;47-44-02.685N;069-41-29.947W;1.5
322;47-44-02.936N;069-40-35.205W;0.6
323;47-44-02.753N;069-39-59.507W;-0.0
324;47-44-02.590N;069-39-29.194W;-0.9
325;47-44-03.183N;069-41-49.637W;1.8
326;47-44-02.975N;069-41-43.225W;1.8
327;47-44-03.138N;069-41-36.728W;1.5
328;47-44-02.959N;069-41-25.373W;1.2
329;47-44-03.054N;069-41-07.250W;1.5
330;47-44-03.182N;069-40-24.863W;0.3
331;47-44-03.482N;069-39-24.445W;-1.2
332;47-44-03.615N;069-39-12.088W;-1.2
333;47-44-03.799N;069-40-56.274W;1.2
334;47-44-03.935N;069-40-43.825W;0.6
335;47-44-03.685N;069-40-12.694W;-0.3
336;47-44-04.068N;069-41-56.332W;1.8
337;47-44-04.123N;069-41-14.313W;1.2
338;47-44-04.309N;069-40-32.752W;0.6
339;47-44-04.639N;069-40-07.945W;-0.3
340;47-44-04.468N;069-39-57.050W;-0.3
341;47-44-04.638N;069-39-48.904W;-0.3
342;47-44-04.439N;069-39-19.056W;-0.6
343;47-44-04.849N;069-41-16.886W;1.2
344;47-44-04.863N;069-41-04.252W;1.8
345;47-44-04.993N;069-40-52.810W;0.6
346;47-44-04.993N;069-40-21.408W;0.6
347;47-44-05.027N;069-40-15.549W;-0.6
348;47-44-04.949N;069-39-38.014W;-0.3
349;47-44-04.831N;069-39-26.110W;-0.3
350;47-44-05.438N;069-41-34.286W;1.5
351;47-44-05.652N;069-39-44.614W;-0.3
352;47-44-05.677N;069-39-07.811W;-0.9
353;47-44-06.101N;069-41-47.204W;1.8
354;47-44-06.016N;069-41-40.794W;1.8
355;47-44-05.936N;069-41-23.307W;1.5
356;47-44-05.868N;069-40-40.737W;0.6
357;47-44-05.821N;069-39-34.409W;-0.0
358;47-44-05.894N;069-39-02.137W;-1.2
359;47-44-06.489N;069-41-54.442W;1.8
360;47-44-06.233N;069-41-12.784W;1.5
361;47-44-06.182N;069-40-29.297W;0.6
362;47-44-06.289N;069-40-17.769W;-0.0
363;47-44-06.383N;069-40-03.714W;-0.0
364;47-44-06.433N;069-39-16.060W;-0.6
365;47-44-06.696N;069-41-30.458W;1.5
366;47-44-06.737N;069-41-00.707W;1.5
367;47-44-06.753N;069-40-47.707W;0.9
368;47-44-06.764N;069-39-23.022W;-0.3
369;47-44-07.258N;069-41-19.205W;1.5
370;47-44-06.959N;069-39-53.419W;-0.3
371;47-44-07.211N;069-38-58.675W;-1.2
372;47-44-07.555N;069-40-37.372W;0.9
373;47-44-07.860N;069-41-09.144W;1.5
374;47-44-07.870N;069-40-57.060W;0.9
375;47-44-07.951N;069-39-42.171W;-0.3
376;47-44-08.253N;069-41-38.627W;1.5
377;47-44-08.263N;069-41-14.002W;0.9
378;47-44-08.176N;069-40-26.210W;0.3
379;47-44-08.139N;069-40-13.994W;-0.0
380;47-44-08.068N;069-40-00.767W;-0.0
381;47-44-08.198N;069-39-31.462W;-0.3
382;47-44-08.216N;069-39-06.561W;-0.6
383;47-44-08.458N;069-41-45.404W;2.1
384;47-44-08.372N;069-40-45.347W;0.6
385;47-44-08.583N;069-39-49.447W;-0.0
386;47-44-08.613N;069-39-12.883W;-0.6
387;47-44-08.891N;069-39-39.804W;-0.0
388;47-44-09.285N;069-41-51.641W;1.8
389;47-44-09.121N;069-40-33.638W;0.9
390;47-44-09.389N;069-40-09.014W;-0.9
391;47-44-09.186N;069-39-20.672W;-0.3
392;47-44-09.425N;069-41-28.571W;1.5
393;47-44-09.602N;069-41-17.315W;1.8
394;47-44-09.673N;069-41-05.414W;1.5
395;47-44-09.625N;069-40-52.779W;1.2
396;47-44-09.608N;069-40-10.667W;-0.0
397;47-44-09.917N;069-41-59.340W;1.5
398;47-44-10.127N;069-41-35.081W;1.5
399;47-44-10.134N;069-41-23.637W;1.8
400;47-44-10.123N;069-39-59.141W;-0.0
401;47-44-10.311N;069-40-41.344W;1.2
402;47-44-10.237N;069-40-22.483W;0.3
403;47-44-10.316N;069-39-28.193W;-0.3
404;47-44-10.150N;069-39-03.198W;-0.6
405;47-44-11.006N;069-41-42.875W;1.5
406;47-44-10.986N;069-41-13.122W;1.5
407;47-44-11.177N;069-41-01.863W;1.2
408;47-44-11.117N;069-40-30.276W;0.9
409;47-44-10.946N;069-40-17.365W;-0.3
410;47-44-10.969N;069-39-11.173W;-0.6
411;47-44-11.521N;069-41-49.565W;1.5
412;47-44-11.430N;069-40-50.423W;0.9
413;47-44-11.433N;069-40-07.941W;0.3
414;47-44-11.381N;069-39-36.355W;-0.3
415;47-44-11.242N;069-39-17.585W;-0.3
416;47-44-11.873N;069-40-38.160W;0.9
417;47-44-12.095N;069-41-56.714W;1.5
418;47-44-12.047N;069-40-19.119W;0.3
419;47-44-12.205N;069-39-56.182W;-0.0
420;47-44-12.077N;069-39-44.238W;0.3
421;47-44-12.021N;069-39-00.017W;-0.6
422;47-44-12.314N;069-41-20.553W;1.8
423;47-44-12.442N;069-40-56.844W;1.2
424;47-44-12.429N;069-39-25.931W;-0.3
425;47-44-12.531N;069-39-08.080W;-0.3
426;47-44-12.855N;069-41-33.378W;1.8
427;47-44-12.744N;069-40-26.727W;0.9
428;47-44-12.891N;069-39-20.719W;-0.9
429;47-44-13.306N;069-41-40.433W;1.5
430;47-44-13.379N;069-41-28.258W;1.8
431;47-44-13.161N;069-41-10.862W;1.5
432;47-44-13.368N;069-40-46.419W;1.2
433;47-44-13.023N;069-39-33.682W;-0.0
434;47-44-13.572N;069-40-04.340W;-0.0
435;47-44-13.420N;069-39-14.682W;-0.3
436;47-44-13.923N;069-41-17.647W;1.8
437;47-44-13.927N;069-41-06.752W;1.2
438;47-44-13.867N;069-40-35.256W;1.2
439;47-44-13.920N;069-40-15.664W;0.3
440;47-44-14.054N;069-39-52.507W;-0.0
441;47-44-13.958N;069-38-56.012W;-0.9
442;47-44-14.132N;069-41-56.832W;1.5
443;47-44-14.127N;069-41-47.677W;1.5
444;47-44-14.372N;069-40-54.306W;1.2
445;47-44-14.319N;069-39-41.062W;0.3
446;47-44-14.147N;069-39-22.827W;-0.0
447;47-44-14.677N;069-40-23.548W;1.2
448;47-44-15.072N;069-41-54.648W;1.8
449;47-44-15.065N;069-41-25.168W;2.1
450;47-44-14.997N;069-40-42.595W;0.9
451;47-44-15.173N;069-40-12.659W;0.3
452;47-44-15.255N;069-41-01.550W;1.2
453;47-44-15.499N;069-40-30.700W;0.9
454;47-44-15.426N;069-40-01.126W;0.3
455;47-44-15.796N;069-39-31.101W;-0.3
456;47-44-15.720N;069-39-11.965W;-0.3
457;47-44-15.569N;069-39-06.012W;-0.3
458;47-44-15.911N;069-41-38.637W;1.8
459;47-44-15.961N;069-41-07.419W;1.2
460;47-44-15.999N;069-40-50.757W;1.2
461;47-44-16.125N;069-39-38.338W;0.3
462;47-44-16.160N;069-39-19.918W;-0.0
463;47-44-16.318N;069-41-32.600W;1.8
464;47-44-16.506N;069-41-21.890W;1.8
465;47-44-16.591N;069-41-15.667W;1.8
466;47-44-16.366N;069-40-19.815W;1.2
467;47-44-16.861N;069-41-44.967W;1.5
468;47-44-16.748N;069-40-38.956W;1.2
469;47-44-17.132N;069-41-51.196W;1.5
470;47-44-17.185N;069-40-27.608W;1.5
471;47-44-17.049N;069-39-27.915W;-0.0
472;47-44-17.204N;069-39-00.997W;-0.3
473;47-44-17.670N;069-41-53.950W;1.8
474;47-44-17.661N;069-41-12.294W;1.5
475;47-44-17.619N;069-40-16.902W;0.9
476;47-44-17.417N;069-40-09.117W;0.6
477;47-44-17.558N;069-39-57.583W;0.3
478;47-44-17.561N;069-39-46.322W;0.3
479;47-44-17.947N;069-41-59.264W;1.5
480;47-44-17.799N;069-40-59.569W;1.2
481;47-44-17.812N;069-40-47.026W;1.2
482;47-44-18.067N;069-41-29.235W;1.8
483;47-44-18.376N;069-40-35.223W;0.9
484;47-44-18.202N;069-39-17.669W;-0.0
485;47-44-18.679N;069-41-07.363W;1.5
486;47-44-18.558N;069-39-35.516W;-0.0
487;47-44-18.757N;069-39-10.172W;-0.3
488;47-44-19.004N;069-41-04.621W;1.5
489;47-44-18.813N;069-40-23.967W;1.2
490;47-44-18.808N;069-39-55.127W;0.3
491;47-44-19.130N;069-39-25.006W;-0.0
492;47-44-19.159N;069-41-42.892W;1.5
493;47-44-19.197N;069-41-36.483W;1.8
494;47-44-19.262N;069-41-25.680W;2.1
495;47-44-19.305N;069-40-55.653W;1.5
496;47-44-19.440N;069-40-43.202W;0.9
497;47-44-19.255N;069-40-11.704W;0.3
498;47-44-19.287N;069-40-06.211W;0.3
499;47-44-19.689N;069-40-00.814W;0.3
500;47-44-19.558N;069-39-42.868W;0.3
501;47-44-19.688N;069-38-58.464W;-0.3
502;47-44-20.126N;069-41-56.455W;1.2
503;47-44-19.918N;069-41-50.043W;1.5
504;47-44-20.034N;069-41-20.563W;1.8
505;47-44-19.999N;069-40-32.314W;1.2
506;47-44-19.905N;069-40-16.657W;0.9
507;47-44-20.093N;069-39-32.445W;-0.0
508;47-44-19.894N;069-39-05.791W;-0.3
509;47-44-20.451N;069-41-33.387W;2.1
510;47-44-20.499N;069-40-20.784W;1.2
511;47-44-20.919N;069-41-04.463W;1.2
512;47-44-20.844N;069-40-14.472W;0.9
513;47-44-20.786N;069-40-03.300W;0.3
514;47-44-20.681N;069-39-51.581W;0.3
515;47-44-20.873N;069-39-21.736W;-0.0
516;47-44-21.215N;069-41-16.919W;1.5
517;47-44-21.054N;069-40-52.196W;1.2
518;47-44-21.192N;069-40-39.471W;1.2
519;47-44-21.516N;069-41-41.092W;1.8
520;47-44-21.585N;069-41-29.648W;2.1
521;47-44-21.502N;069-40-28.672W;1.2
522;47-44-21.502N;069-40-07.613W;0.6
523;47-44-21.366N;069-39-39.778W;0.3
524;47-44-21.570N;069-39-15.060W;-0.3
525;47-44-21.863N;069-39-28.706W;0.3
526;47-44-22.274N;069-40-04.510W;0.3
527;47-44-22.235N;069-40-00.481W;0.3
528;47-44-22.367N;069-39-48.305W;0.3
529;47-44-22.206N;069-39-10.580W;-0.0
530;47-44-22.464N;069-41-47.788W;1.5
531;47-44-22.430N;069-41-12.174W;1.5
532;47-44-22.559N;069-41-00.730W;1.5
533;47-44-22.514N;069-40-47.728W;0.9
534;47-44-22.584N;069-40-35.919W;1.5
535;47-44-22.665N;069-40-11.565W;0.9
536;47-44-22.580N;069-39-03.115W;-0.0
537;47-44-22.412N;069-38-57.399W;-0.6
538;47-44-22.959N;069-40-24.569W;1.5
539;47-44-23.059N;069-39-30.265W;-0.0
540;47-44-23.104N;069-41-54.206W;1.2
541;47-44-23.327N;069-41-37.729W;2.1
542;47-44-23.339N;069-41-25.551W;1.8
543;47-44-23.932N;069-41-08.897W;1.5
544;47-44-24.004N;069-40-56.721W;1.5
545;47-44-24.047N;069-39-56.842W;0.3
546;47-44-23.856N;069-39-25.801W;0.3
547;47-44-23.953N;069-39-18.338W;-0.0
548;47-44-24.411N;069-41-21.903W;1.5
549;47-44-24.326N;069-40-44.090W;1.2
550;47-44-24.269N;069-40-32.827W;1.5
551;47-44-24.218N;069-40-20.557W;1.2
552;47-44-24.294N;069-40-07.557W;0.6
553;47-44-24.299N;069-39-45.400W;0.3
554;47-44-24.751N;069-41-47.453W;1.5
555;47-44-24.643N;069-41-44.888W;1.5
556;47-44-24.947N;069-39-14.443W;-0.0
557;47-44-25.099N;069-39-02.743W;-0.3
558;47-44-25.461N;069-41-52.497W;1.2
559;47-44-25.321N;069-41-34.916W;1.8
560;47-44-25.511N;069-40-52.620W;0.9
561;47-44-25.382N;069-39-07.844W;-0.0
562;47-44-25.734N;069-41-17.345W;1.5
563;47-44-25.804N;069-41-05.626W;1.8
564;47-44-25.889N;069-40-40.997W;1.8
565;47-44-25.711N;069-40-29.183W;1.5
566;47-44-25.970N;069-40-16.551W;1.2
567;47-44-25.917N;069-40-04.648W;0.6
568;47-44-25.672N;069-39-53.658W;0.6
569;47-44-26.092N;069-41-29.891W;1.8
570;47-44-26.134N;069-39-35.101W;-0.0
571;47-44-26.511N;069-41-42.349W;2.1
