;Lat (DMS);Long (DMS);Depth (m)
0;47-42-41.820N;069-41-59.532W;-1.2
1;47-42-43.992N;069-41-57.822W;-1.2
2;47-42-44.128N;069-41-45.562W;-2.7
3;47-42-46.846N;069-41-55.664W;-0.9
4;47-42-46.824N;069-41-49.166W;-1.8
5;47-42-46.856N;069-41-43.951W;-2.7
6;47-42-49.453N;069-41-53.594W;-0.9
7;47-42-49.487N;069-41-47.921W;-1.2
8;47-42-50.992N;069-41-44.188W;-1.8
9;47-42-52.366N;069-41-51.803W;-0.9
10;47-42-53.187N;069-41-59.044W;-0.6
11;47-42-53.414N;069-41-41.933W;-0.9
12;47-42-53.629N;069-41-47.335W;-0.3
13;47-42-55.160N;069-41-49.461W;-0.3
14;47-42-55.593N;069-41-39.217W;-0.6
15;47-42-55.796N;069-41-56.607W;-0.6
16;47-42-55.974N;069-41-51.873W;-0.0
17;47-42-56.542N;069-41-45.635W;-0.3
18;47-42-57.575N;069-41-48.395W;-0.3
19;47-42-58.068N;069-41-55.217W;-0.0
20;47-42-57.952N;069-41-37.143W;-0.6
21;47-42-58.775N;069-41-49.185W;-0.0
22;47-42-58.597N;069-41-42.917W;-0.3
23;47-43-00.625N;069-41-34.160W;-0.6
24;47-43-00.820N;069-41-53.014W;0.3
25;47-43-01.123N;069-41-47.148W;-0.0
26;47-43-01.391N;069-41-40.392W;-0.3
27;47-43-02.863N;069-41-31.810W;-0.6
28;47-43-03.367N;069-41-50.668W;0.3
29;47-43-03.579N;069-41-44.656W;-0.0
30;47-43-03.752N;069-41-38.044W;-0.3
31;47-43-04.321N;069-41-56.265W;0.6
32;47-43-05.990N;069-41-35.513W;-0.3
33;47-43-05.782N;069-41-29.104W;-0.3
34;47-43-06.220N;069-41-48.694W;0.3
35;47-43-06.208N;069-41-41.965W;-0.0
36;47-43-07.226N;069-41-55.846W;0.6
37;47-43-07.711N;069-41-26.657W;-0.3
38;47-43-08.116N;069-41-20.897W;-0.9
39;47-43-08.375N;069-41-39.570W;0.3
40;47-43-08.287N;069-41-33.530W;-0.3
41;47-43-09.075N;069-41-46.260W;0.6
42;47-43-09.648N;069-41-53.773W;0.6
43;47-43-10.170N;069-41-18.361W;-0.9
44;47-43-10.687N;069-41-37.312W;0.3
45;47-43-10.651N;069-41-30.724W;-0.3
46;47-43-11.384N;069-41-44.460W;0.6
47;47-43-12.453N;069-41-51.613W;0.9
48;47-43-12.296N;069-41-26.534W;-0.3
49;47-43-12.470N;069-41-15.829W;-0.9
50;47-43-12.718N;069-41-58.756W;0.9
51;47-43-13.059N;069-41-10.254W;-0.6
52;47-43-13.358N;069-41-34.693W;0.3
53;47-43-13.931N;069-41-42.114W;0.6
54;47-43-14.597N;069-41-23.910W;-0.3
55;47-43-14.681N;069-41-07.530W;-1.5
56;47-43-14.933N;069-41-49.999W;0.9
57;47-43-15.328N;069-41-56.228W;1.2
58;47-43-15.533N;069-41-32.617W;0.3
59;47-43-16.352N;069-41-40.042W;0.9
60;47-43-16.709N;069-41-21.833W;-0.3
61;47-43-16.676N;069-41-14.695W;-0.3
62;47-43-17.108N;069-41-04.450W;-1.2
63;47-43-17.298N;069-41-47.101W;0.6
64;47-43-17.931N;069-41-54.707W;1.2
65;47-43-18.451N;069-41-29.910W;0.6
66;47-43-18.913N;069-41-12.528W;-0.3
67;47-43-19.420N;069-41-53.537W;0.9
68;47-43-19.389N;069-41-38.251W;0.9
69;47-43-19.715N;069-41-02.378W;-1.2
70;47-43-20.028N;069-41-45.033W;0.9
71;47-43-19.746N;069-41-20.042W;0.3
72;47-43-20.442N;069-41-27.648W;0.6
73;47-43-20.850N;069-41-52.000W;0.9
74;47-43-21.337N;069-41-09.905W;-0.3
75;47-43-21.610N;069-41-58.967W;1.2
76;47-43-21.750N;069-41-35.903W;0.9
77;47-43-21.906N;069-41-18.059W;0.3
78;47-43-22.512N;069-41-42.778W;0.9
79;47-43-22.718N;069-41-06.262W;-0.3
80;47-43-23.109N;069-41-25.761W;0.6
81;47-43-23.457N;069-41-49.838W;1.2
82;47-43-24.032N;069-41-56.893W;1.2
83;47-43-24.480N;069-41-33.926W;0.9
84;47-43-24.576N;069-41-15.622W;0.3
85;47-43-25.116N;069-41-41.073W;1.2
86;47-43-25.470N;069-41-23.321W;0.6
87;47-43-25.309N;069-41-10.534W;-0.0
88;47-43-25.690N;069-41-48.312W;1.2
89;47-43-25.507N;069-41-04.651W;-0.3
90;47-43-26.639N;069-41-54.732W;1.2
91;47-43-26.817N;069-41-25.352W;0.6
92;47-43-26.865N;069-40-54.234W;-0.9
93;47-43-27.211N;069-41-31.673W;0.9
94;47-43-27.302N;069-41-47.235W;0.9
95;47-43-27.723N;069-41-38.911W;1.2
96;47-43-27.918N;069-41-14.476W;0.3
97;47-43-28.140N;069-41-21.068W;0.3
98;47-43-28.509N;069-41-09.022W;-0.0
99;47-43-28.511N;069-41-05.109W;-0.0
100;47-43-28.608N;069-41-02.403W;-0.3
101;47-43-28.794N;069-41-45.516W;0.9
102;47-43-28.794N;069-40-51.880W;-0.9
103;47-43-29.394N;069-41-58.705W;1.5
104;47-43-29.122N;069-41-52.568W;1.2
105;47-43-29.485N;069-41-23.282W;0.9
106;47-43-29.798N;069-41-03.472W;-0.0
107;47-43-29.938N;069-41-30.062W;0.9
108;47-43-29.867N;069-40-58.484W;-0.3
109;47-43-30.451N;069-41-37.117W;0.9
110;47-43-30.614N;069-41-18.173W;0.6
111;47-43-30.723N;069-40-49.433W;-0.9
112;47-43-31.214N;069-41-43.809W;1.2
113;47-43-31.569N;069-41-56.537W;1.5
114;47-43-31.299N;069-41-07.501W;-0.0
115;47-43-31.789N;069-41-50.773W;1.2
116;47-43-32.277N;069-41-21.122W;0.9
117;47-43-32.290N;069-40-55.953W;-0.3
118;47-43-32.484N;069-41-27.807W;0.9
119;47-43-32.671N;069-41-14.905W;0.3
120;47-43-32.534N;069-41-03.562W;-0.0
121;47-43-32.811N;069-41-35.043W;0.9
122;47-43-32.781N;069-40-46.074W;-0.6
123;47-43-33.759N;069-41-41.646W;1.2
124;47-43-33.477N;069-40-53.771W;-0.3
125;47-43-34.460N;069-41-48.337W;1.5
126;47-43-34.233N;069-41-11.997W;0.3
127;47-43-34.545N;069-41-54.563W;1.5
128;47-43-34.578N;069-41-00.778W;-0.0
129;47-43-34.994N;069-41-18.872W;0.9
130;47-43-34.902N;069-40-42.531W;-0.6
131;47-43-35.461N;069-41-25.833W;1.2
132;47-43-35.538N;069-40-49.862W;-0.3
133;47-43-35.485N;069-40-38.054W;-0.6
134;47-43-35.611N;069-41-08.043W;-0.0
135;47-43-36.179N;069-41-39.756W;0.9
136;47-43-36.036N;069-41-32.797W;1.2
137;47-43-36.291N;069-40-58.293W;-0.3
138;47-43-36.969N;069-41-52.124W;1.5
139;47-43-36.757N;069-41-46.263W;1.2
140;47-43-37.358N;069-41-59.178W;1.5
141;47-43-37.354N;069-41-16.797W;0.9
142;47-43-37.733N;069-41-05.086W;0.3
143;47-43-38.006N;069-41-23.670W;1.2
144;47-43-38.001N;069-41-11.863W;0.6
145;47-43-37.780N;069-40-46.688W;-0.3
146;47-43-38.106N;069-40-54.289W;-0.3
147;47-43-38.303N;069-40-41.843W;-0.3
148;47-43-38.787N;069-41-37.411W;1.5
149;47-43-38.521N;069-41-30.450W;1.2
150;47-43-38.640N;069-40-37.087W;-0.3
151;47-43-38.933N;069-41-44.003W;1.2
152;47-43-39.451N;069-41-50.234W;1.5
153;47-43-39.323N;069-41-03.085W;-0.0
154;47-43-39.906N;069-41-56.649W;1.5
155;47-43-40.246N;069-40-39.214W;-0.6
156;47-43-40.551N;069-41-21.506W;1.2
157;47-43-40.342N;069-41-14.824W;0.9
158;47-43-40.498N;069-41-09.425W;0.9
159;47-43-40.430N;069-40-58.126W;-0.0
160;47-43-40.299N;069-40-51.023W;-0.3
161;47-43-40.712N;069-40-33.453W;-0.6
162;47-43-41.002N;069-41-28.652W;1.2
163;47-43-41.021N;069-40-54.237W;-0.9
164;47-43-41.130N;069-40-46.274W;-0.3
165;47-43-41.456N;069-41-35.340W;1.2
166;47-43-41.933N;069-41-48.254W;1.5
167;47-43-41.972N;069-41-41.847W;1.2
168;47-43-42.119N;069-41-06.883W;0.6
169;47-43-42.208N;069-40-41.528W;-0.3
170;47-43-42.450N;069-41-54.669W;1.5
171;47-43-42.700N;069-41-13.116W;0.9
172;47-43-42.769N;069-40-30.276W;-0.3
173;47-43-43.022N;069-40-55.737W;-0.0
174;47-43-42.824N;069-40-52.246W;-1.2
175;47-43-43.278N;069-41-19.803W;0.9
176;47-43-43.670N;069-41-26.582W;1.2
177;47-43-43.508N;069-41-01.867W;0.6
178;47-43-43.516N;069-40-50.361W;-0.0
179;47-43-43.705N;069-40-39.076W;-0.3
180;47-43-43.876N;069-41-33.450W;1.5
181;47-43-44.396N;069-41-39.316W;1.2
182;47-43-44.727N;069-41-45.819W;1.5
183;47-43-44.699N;069-40-27.555W;-0.3
184;47-43-45.118N;069-41-52.690W;1.5
185;47-43-45.081N;069-40-46.600W;-0.3
186;47-43-44.982N;069-40-21.425W;-0.6
187;47-43-45.326N;069-41-59.101W;1.5
188;47-43-45.612N;069-41-32.283W;1.2
189;47-43-45.615N;069-41-10.957W;0.6
190;47-43-45.316N;069-40-38.273W;-3.4
191;47-43-45.588N;069-40-15.591W;-3.4
192;47-43-45.954N;069-41-05.927W;0.9
193;47-43-46.013N;069-40-35.261W;-0.3
194;47-43-46.068N;069-41-17.920W;1.2
195;47-43-46.061N;069-41-00.675W;-0.0
196;47-43-46.403N;069-41-24.147W;1.2
197;47-43-46.698N;069-40-55.135W;0.6
198;47-43-46.635N;069-40-44.881W;-0.3
199;47-43-46.941N;069-41-37.244W;1.5
200;47-43-47.040N;069-41-31.112W;1.5
