;Lat (DMS);Long (DMS);Depth (m)
0;47-47-18.218N;069-35-59.687W;-0.91
1;47-47-20.813N;069-35-58.812W;-0.91
2;47-47-23.824N;069-35-57.269W;-0.91
3;47-47-26.669N;069-35-55.786W;-0.91
4;47-47-29.638N;069-35-54.242W;-0.91
5;47-47-32.753N;069-35-59.804W;-0.61
6;47-47-32.521N;069-35-53.125W;-0.61
7;47-47-35.352N;069-35-58.132W;-0.61
8;47-47-36.101N;069-35-51.897W;-1.52
9;47-47-38.365N;069-35-51.076W;-2.44
10;47-47-38.694N;069-35-55.982W;-0.61
11;47-47-39.412N;069-35-58.566W;-1.52
12;47-47-40.835N;069-35-55.098W;-1.52
13;47-47-41.583N;069-35-49.045W;-2.13
14;47-47-42.955N;069-35-51.825W;-1.83
15;47-47-43.302N;069-35-59.549W;-0.61
16;47-47-43.524N;069-35-47.545W;-1.83
17;47-47-44.691N;069-35-55.223W;-0.91
18;47-47-46.753N;069-35-53.970W;-0.91
19;47-47-48.127N;069-35-56.504W;-1.83
20;47-47-50.855N;069-35-54.160W;-1.22
21;47-47-55.603N;069-35-55.525W;-0.91
22;47-47-58.451N;069-35-53.366W;-0.91
