Date,Time,Battery,Turbidity,ADC,Pressure,ADC,Sound Velocity,NSV,Depth
2023-10-10,05:09:14.24,7.810000000,2.670000000,13453.000000000,0.114450000,838589.000000000,1474.583000000,3480.494385000,0.113490000
2023-10-10,05:09:14.49,7.810000000,2.440000000,13043.000000000,0.218220000,839987.000000000,1473.881000000,3482.286621000,0.216390000
2023-10-10,05:09:14.59,7.820000000,2.370000000,12918.000000000,0.321610000,841380.000000000,1473.591000000,3482.867920000,0.318920000
2023-10-10,05:09:14.74,7.810000000,2.380000000,12920.000000000,0.426940000,842799.000000000,1473.379000000,3483.358887000,0.423360000
2023-10-10,05:09:15.04,7.820000000,2.390000000,12945.000000000,0.534710000,844251.000000000,1473.126000000,3483.682617000,0.530230000
2023-10-10,05:09:15.34,7.820000000,2.530000000,13194.000000000,0.642410000,845702.000000000,1472.892000000,3484.282227000,0.637020000
2023-10-10,05:09:15.69,7.820000000,2.160000000,12533.000000000,0.755900000,847231.000000000,1472.904000000,3484.164551000,0.749560000
2023-10-10,05:09:16.44,7.820000000,1.830000000,11937.000000000,0.884390000,848962.000000000,1472.669000000,3484.643555000,0.876970000
2023-10-10,05:09:16.59,7.820000000,1.940000000,12132.000000000,1.012940000,850694.000000000,1472.651000000,3484.870605000,1.004440000
2023-10-10,05:09:16.74,7.820000000,2.060000000,12353.000000000,1.159460000,852668.000000000,1472.597000000,3484.983398000,1.149730000
2023-10-10,05:09:16.84,7.820000000,2.230000000,12659.000000000,1.293510000,854474.000000000,1472.542000000,3484.989258000,1.282660000
2023-10-10,05:09:16.94,7.820000000,2.370000000,12908.000000000,1.422150000,856207.000000000,1472.604000000,3484.468506000,1.410210000
2023-10-10,05:09:17.04,7.820000000,2.550000000,13236.000000000,1.543800000,857846.000000000,1473.019000000,3483.270508000,1.530850000
2023-10-10,05:09:17.14,7.820000000,2.580000000,13297.000000000,1.716890000,860178.000000000,1473.263000000,3483.031006000,1.702490000
2023-10-10,05:09:17.29,7.820000000,2.880000000,13835.000000000,1.868610000,862222.000000000,1473.456000000,3482.762207000,1.852930000
2023-10-10,05:09:17.59,7.820000000,2.220000000,12640.000000000,1.988710000,863840.000000000,1473.564000000,3482.548096000,1.972020000
2023-10-10,05:09:18.04,7.820000000,1.950000000,12148.000000000,2.098710000,865322.000000000,1473.634000000,3482.432861000,2.081100000
2023-10-10,05:09:18.19,7.820000000,2.200000000,12611.000000000,2.223930000,867009.000000000,1473.632000000,3482.432861000,2.205260000
2023-10-10,05:09:18.34,7.820000000,2.330000000,12837.000000000,2.385000000,869179.000000000,1473.606000000,3482.654785000,2.364980000
2023-10-10,05:09:18.49,7.820000000,2.290000000,12768.000000000,2.525510000,871072.000000000,1473.094000000,3484.293213000,2.504310000
2023-10-10,05:09:18.64,7.820000000,2.020000000,12286.000000000,2.674780000,873083.000000000,1472.812000000,3484.382324000,2.652320000
2023-10-10,05:09:18.74,7.820000000,1.990000000,12230.000000000,2.820850000,875051.000000000,1472.800000000,3484.573975000,2.797170000
2023-10-10,05:09:18.89,7.820000000,1.770000000,11834.000000000,2.956690000,876881.000000000,1472.501000000,3485.250244000,2.931860000
2023-10-10,05:09:18.94,7.820000000,1.730000000,11753.000000000,3.077670000,878511.000000000,1472.466000000,3485.288818000,3.051840000
2023-10-10,05:09:19.09,7.820000000,1.670000000,11640.000000000,3.198810000,880143.000000000,1472.405000000,3485.396729000,3.171960000
2023-10-10,05:09:19.24,7.820000000,1.680000000,11662.000000000,3.316390000,881727.000000000,1472.367000000,3485.478027000,3.288540000
2023-10-10,05:09:19.99,7.820000000,1.510000000,11355.000000000,3.421790000,883147.000000000,1472.359000000,3485.436768000,3.393060000
2023-10-10,05:09:20.14,7.820000000,1.540000000,11416.000000000,3.556660000,884964.000000000,1472.375000000,3485.386719000,3.526790000
2023-10-10,05:09:20.29,7.820000000,1.570000000,11458.000000000,3.657530000,886323.000000000,1472.347000000,3485.531250000,3.626820000
2023-10-10,05:09:20.39,7.820000000,1.590000000,11509.000000000,3.785870000,888052.000000000,1472.286000000,3485.836914000,3.754080000
2023-10-10,05:09:20.49,7.820000000,1.530000000,11400.000000000,3.907230000,889687.000000000,1472.151000000,3486.036621000,3.874420000
2023-10-10,05:09:20.64,7.820000000,1.500000000,11331.000000000,4.062660000,891781.000000000,1472.076000000,3486.167236000,4.028540000
2023-10-10,05:09:20.74,7.820000000,1.460000000,11265.000000000,4.174740000,893291.000000000,1472.052000000,3486.212891000,4.139680000
2023-10-10,05:09:20.89,7.820000000,1.410000000,11182.000000000,4.285860000,894788.000000000,1472.019000000,3486.328613000,4.249870000
2023-10-10,05:09:21.04,7.820000000,1.600000000,11523.000000000,4.406850000,896418.000000000,1471.965000000,3486.504395000,4.369840000
2023-10-10,05:09:21.24,7.830000000,1.330000000,11034.000000000,4.513290000,897852.000000000,1471.866000000,3486.804199000,4.475390000
2023-10-10,05:09:21.54,7.830000000,1.180000000,10751.000000000,4.627230000,899387.000000000,1471.716000000,3486.999756000,4.588370000
2023-10-10,05:09:21.74,7.830000000,1.250000000,10879.000000000,4.746740000,900997.000000000,1471.704000000,3487.062500000,4.706870000
2023-10-10,05:09:21.89,7.830000000,1.240000000,10860.000000000,4.847020000,902348.000000000,1471.656000000,3487.162598000,4.806300000
2023-10-10,05:09:22.04,7.830000000,1.200000000,10789.000000000,4.960730000,903880.000000000,1471.624000000,3487.268555000,4.919060000
2023-10-10,05:09:22.14,7.830000000,1.190000000,10786.000000000,5.062050000,905245.000000000,1471.595000000,3487.293457000,5.019530000
2023-10-10,05:09:22.24,7.830000000,1.180000000,10766.000000000,5.166340000,906650.000000000,1471.571000000,3487.337158000,5.122940000
2023-10-10,05:09:22.39,7.830000000,1.260000000,10900.000000000,5.326670000,908810.000000000,1471.565000000,3487.320801000,5.281930000
2023-10-10,05:09:22.49,7.830000000,1.210000000,10822.000000000,5.458060000,910580.000000000,1471.562000000,3487.355469000,5.412200000
2023-10-10,05:09:22.64,7.830000000,1.150000000,10700.000000000,5.593450000,912404.000000000,1471.536000000,3487.464844000,5.546460000
2023-10-10,05:09:22.89,7.830000000,1.050000000,10523.000000000,5.734110000,914299.000000000,1471.433000000,3487.704590000,5.685930000
2023-10-10,05:09:23.29,7.830000000,0.970000000,10373.000000000,5.877810000,916235.000000000,1471.315000000,3487.954590000,5.828430000
2023-10-10,05:09:23.74,7.820000000,0.800000000,10074.000000000,5.993160000,917789.000000000,1471.245000000,3488.074219000,5.942810000
2023-10-10,05:09:23.94,7.830000000,0.800000000,10075.000000000,6.097230000,919191.000000000,1471.277000000,3488.005127000,6.046000000
2023-10-10,05:09:24.09,7.830000000,0.810000000,10092.000000000,6.201820000,920600.000000000,1471.239000000,3488.174316000,6.149710000
2023-10-10,05:09:24.24,7.830000000,0.770000000,10023.000000000,6.305740000,922000.000000000,1471.207000000,3488.229492000,6.252750000
2023-10-10,05:09:24.34,7.830000000,0.840000000,10144.000000000,6.460280000,924082.000000000,1471.178000000,3488.308594000,6.405990000
2023-10-10,05:09:24.49,7.830000000,0.850000000,10156.000000000,6.633010000,926409.000000000,1471.151000000,3488.353760000,6.577270000
2023-10-10,05:09:24.64,7.820000000,0.720000000,9931.000000000,6.739010000,927837.000000000,1471.135000000,3488.361084000,6.682370000
2023-10-10,05:09:25.94,7.830000000,0.390000000,9325.000000000,6.878410000,929715.000000000,1471.068000000,3488.477295000,6.820600000
2023-10-10,05:09:26.14,7.830000000,0.340000000,9240.000000000,6.996880000,931311.000000000,1471.118000000,3488.228271000,6.938070000
2023-10-10,05:09:26.29,7.830000000,0.340000000,9234.000000000,7.131600000,933126.000000000,1471.231000000,3488.011475000,7.071660000
2023-10-10,05:09:26.44,7.830000000,0.420000000,9388.000000000,7.302110000,935423.000000000,1471.290000000,3487.952393000,7.240730000
2023-10-10,05:09:27.19,7.830000000,0.290000000,9148.000000000,7.178670000,933760.000000000,1471.340000000,3487.856445000,7.118330000
2023-10-10,05:09:28.14,7.830000000,0.260000000,9102.000000000,7.282140000,935154.000000000,1471.301000000,3487.971680000,7.220930000
2023-10-10,05:09:28.34,7.830000000,0.370000000,9302.000000000,7.386130000,936555.000000000,1471.307000000,3487.946533000,7.324050000
2023-10-10,05:09:28.74,7.830000000,0.290000000,9150.000000000,7.270410000,934996.000000000,1471.367000000,3487.783691000,7.209300000
2023-10-10,05:09:28.94,7.810000000,0.300000000,9162.000000000,7.163740000,933559.000000000,1471.358000000,3487.842285000,7.103530000
2023-10-10,05:09:29.24,7.830000000,0.250000000,9083.000000000,7.059680000,932157.000000000,1471.327000000,3487.886475000,7.000340000
2023-10-10,05:09:29.74,7.830000000,0.410000000,9360.000000000,7.186230000,933862.000000000,1471.317000000,3487.923584000,7.125830000
2023-10-10,05:09:29.99,7.830000000,0.260000000,9105.000000000,7.294540000,935321.000000000,1471.323000000,3487.899170000,7.233220000
2023-10-10,05:09:30.19,7.830000000,0.250000000,9080.000000000,7.415160000,936946.000000000,1471.323000000,3487.905762000,7.352830000
2023-10-10,05:09:30.34,7.830000000,0.290000000,9145.000000000,7.553220000,938806.000000000,1471.329000000,3487.887207000,7.489730000
2023-10-10,05:09:30.59,7.830000000,0.270000000,9116.000000000,7.673330000,940424.000000000,1471.337000000,3487.821777000,7.608820000
2023-10-10,05:09:31.50,7.830000000,0.190000000,8969.000000000,7.571850000,939057.000000000,1471.349000000,3487.865234000,7.508200000
2023-10-10,05:09:31.95,7.830000000,0.210000000,9008.000000000,7.454420000,937475.000000000,1471.340000000,3487.889160000,7.391760000
2023-10-10,05:09:32.30,7.830000000,0.260000000,9097.000000000,7.554630000,938825.000000000,1471.328000000,3487.878174000,7.491130000
2023-10-10,05:09:32.55,7.830000000,0.330000000,9229.000000000,7.718230000,941029.000000000,1471.335000000,3487.873291000,7.653350000
2023-10-10,05:09:32.70,7.830000000,0.410000000,9377.000000000,7.818820000,942384.000000000,1471.340000000,3487.839844000,7.753090000
2023-10-10,05:09:32.85,7.840000000,0.370000000,9298.000000000,7.942550000,944051.000000000,1471.369000000,3487.745605000,7.875780000
2023-10-10,05:09:34.35,7.830000000,0.160000000,8908.000000000,7.837670000,942638.000000000,1471.397000000,3487.719727000,7.771780000
2023-10-10,05:09:36.20,7.830000000,0.230000000,9039.000000000,7.942480000,944050.000000000,1471.357000000,3487.818604000,7.875710000
2023-10-10,05:09:36.55,7.830000000,0.260000000,9093.000000000,8.046920000,945457.000000000,1471.392000000,3487.720459000,7.979270000
2023-10-10,05:09:36.90,7.830000000,0.240000000,9063.000000000,8.156340000,946931.000000000,1471.400000000,3487.726074000,8.087760000
2023-10-10,05:09:37.25,7.830000000,0.170000000,8933.000000000,8.261890000,948353.000000000,1471.410000000,3487.708252000,8.192430000
2023-10-10,05:09:37.45,7.830000000,0.170000000,8930.000000000,8.381920000,949970.000000000,1471.418000000,3487.680176000,8.311440000
2023-10-10,05:09:37.65,7.830000000,0.270000000,9110.000000000,8.483610000,951340.000000000,1471.429000000,3487.635010000,8.412280000
2023-10-10,05:09:38.45,7.830000000,0.240000000,9069.000000000,8.309920000,949000.000000000,1471.453000000,3487.618896000,8.240050000
2023-10-10,05:09:38.65,7.830000000,0.170000000,8941.000000000,8.190330000,947389.000000000,1471.415000000,3487.714355000,8.121470000
2023-10-10,05:09:40.75,7.830000000,0.190000000,8977.000000000,8.291430000,948751.000000000,1471.364000000,3487.802979000,8.221720000
2023-10-10,05:09:40.90,7.830000000,0.220000000,9030.000000000,8.392980000,950119.000000000,1471.371000000,3487.787598000,8.322410000
2023-10-10,05:09:41.05,7.830000000,0.240000000,9054.000000000,8.517020000,951790.000000000,1471.372000000,3487.780518000,8.445400000
2023-10-10,05:09:41.20,7.830000000,0.320000000,9202.000000000,8.624350000,953236.000000000,1471.394000000,3487.719727000,8.551830000
2023-10-10,05:09:41.30,7.830000000,0.260000000,9096.000000000,8.730130000,954661.000000000,1471.414000000,3487.661621000,8.656720000
2023-10-10,05:09:41.45,7.830000000,0.610000000,9738.000000000,8.851640000,956298.000000000,1471.436000000,3487.597412000,8.777210000
2023-10-10,05:09:41.70,7.830000000,0.460000000,9467.000000000,8.978350000,958005.000000000,1471.508000000,3487.436523000,8.902850000
2023-10-10,05:09:42.35,7.830000000,0.180000000,8958.000000000,8.850080000,956277.000000000,1471.510000000,3487.488525000,8.775660000
2023-10-10,05:09:42.65,7.830000000,0.140000000,8883.000000000,8.735320000,954731.000000000,1471.459000000,3487.606934000,8.661870000
2023-10-10,05:09:43.70,7.830000000,0.250000000,9082.000000000,8.850600000,956284.000000000,1471.435000000,3487.642334000,8.776180000
2023-10-10,05:09:43.90,7.830000000,0.360000000,9286.000000000,8.957570000,957725.000000000,1471.445000000,3487.596191000,8.882240000
2023-10-10,05:09:44.35,7.830000000,0.250000000,9084.000000000,9.079230000,959364.000000000,1471.494000000,3487.512695000,9.002880000
2023-10-10,05:09:44.65,7.830000000,0.270000000,9116.000000000,8.927650000,957322.000000000,1471.482000000,3487.532471000,8.852580000
2023-10-10,05:09:45.25,7.830000000,0.260000000,9090.000000000,9.033950000,958754.000000000,1471.456000000,3487.588379000,8.957980000
2023-10-10,05:09:45.40,7.830000000,0.240000000,9069.000000000,9.159920000,960451.000000000,1471.483000000,3487.485107000,9.082890000
2023-10-10,05:09:45.60,7.830000000,0.520000000,9570.000000000,9.297250000,962301.000000000,1471.516000000,3487.424072000,9.219050000
2023-10-10,05:09:45.80,7.830000000,0.410000000,9369.000000000,9.410590000,963828.000000000,1471.566000000,3487.243164000,9.331450000
2023-10-10,05:09:45.90,7.830000000,0.280000000,9140.000000000,9.514660000,965230.000000000,1471.620000000,3487.150879000,9.434640000
2023-10-10,05:09:46.05,7.830000000,0.180000000,8952.000000000,9.630540000,966791.000000000,1471.658000000,3487.105469000,9.549540000
2023-10-10,05:09:46.20,7.830000000,0.220000000,9021.000000000,9.766970000,968629.000000000,1471.619000000,3487.312500000,9.684820000
2023-10-10,05:09:46.40,7.830000000,0.280000000,9132.000000000,9.873120000,970059.000000000,1471.500000000,3487.502441000,9.790070000
2023-10-10,05:09:46.55,7.830000000,0.220000000,9019.000000000,9.980680000,971508.000000000,1471.480000000,3487.537598000,9.896730000
2023-10-10,05:09:46.70,7.830000000,0.210000000,9010.000000000,10.112520000,973284.000000000,1471.541000000,3487.257080000,10.027450000
2023-10-10,05:09:46.80,7.830000000,0.200000000,8985.000000000,10.215470000,974671.000000000,1471.616000000,3487.141846000,10.129540000
2023-10-10,05:09:47.00,7.830000000,0.390000000,9338.000000000,10.373290000,976797.000000000,1471.743000000,3486.814453000,10.286020000
2023-10-10,05:09:47.15,7.830000000,0.330000000,9223.000000000,10.513730000,978689.000000000,1471.851000000,3486.466309000,10.425280000
2023-10-10,05:09:47.25,7.830000000,0.330000000,9227.000000000,10.650170000,980527.000000000,1471.975000000,3486.206299000,10.560570000
2023-10-10,05:09:47.45,7.830000000,1.110000000,10630.000000000,10.796110000,982493.000000000,1472.102000000,3485.993896000,10.705270000
2023-10-10,05:09:47.60,7.830000000,0.850000000,10169.000000000,10.896170000,983841.000000000,1472.133000000,3485.967285000,10.804490000
2023-10-10,05:09:47.80,7.830000000,0.290000000,9152.000000000,11.001060000,985254.000000000,1472.151000000,3485.938232000,10.908490000
2023-10-10,05:09:48.20,7.830000000,0.250000000,9082.000000000,11.140990000,987139.000000000,1472.149000000,3485.941895000,11.047240000
2023-10-10,05:09:48.40,7.830000000,0.210000000,9015.000000000,11.284550000,989073.000000000,1472.073000000,3486.273193000,11.189590000
2023-10-10,05:09:48.55,7.840000000,0.400000000,9355.000000000,11.385800000,990437.000000000,1471.933000000,3486.667969000,11.289990000
2023-10-10,05:09:48.65,7.830000000,0.320000000,9205.000000000,11.518080000,992219.000000000,1471.854000000,3486.723633000,11.421150000
2023-10-10,05:09:48.85,7.830000000,0.080000000,8774.000000000,11.636700000,993817.000000000,1471.831000000,3486.695068000,11.538770000
2023-10-10,05:09:49.00,7.830000000,0.300000000,9172.000000000,11.743080000,995250.000000000,1471.834000000,3486.680908000,11.644250000
2023-10-10,05:09:49.55,7.830000000,0.000000000,8485.000000000,11.866750000,996916.000000000,1471.852000000,3486.648438000,11.766870000
2023-10-10,05:09:49.75,7.830000000,0.020000000,8662.000000000,12.031240000,999132.000000000,1471.840000000,3486.694336000,11.929980000
2023-10-10,05:09:49.90,7.830000000,0.000000000,8574.000000000,12.158110000,1000841.000000000,1471.831000000,3486.736084000,12.055770000
