;x;y;d;w;weight_density
103;0.0;3.0;10.0;1.0;0.4000762303670247
104;0.0;3.0;11.0;1.0;0.4000762303670247
105;0.0;3.0;12.0;1.0;0.4000762303670247
106;0.0;3.0;13.0;1.0;0.4000762303670247
107;0.0;3.0;14.0;1.0;0.4000762303670247
108;0.0;3.0;15.0;1.0;0.4000762303670247
109;0.0;3.0;16.0;1.0;0.4000762303670247
110;0.0;3.0;17.0;1.0;0.4000762303670247
111;0.0;3.0;18.0;1.0;0.4000762303670247
112;0.0;3.0;19.0;1.0;0.4000762303670247
113;0.0;3.0;20.0;1.0;0.4000762303670247
114;0.0;3.0;21.0;1.0;0.4000762303670247
115;0.0;3.0;22.0;1.0;0.4000762303670247
116;0.0;3.0;23.0;1.0;0.4000762303670247
117;0.0;3.0;24.0;1.0;0.4000762303670247
118;0.0;3.0;25.0;1.0;0.4000762303670247
119;0.0;3.0;26.0;1.0;0.4000762303670247
120;0.0;3.0;27.0;1.0;0.4000762303670247
121;0.0;3.0;28.0;1.0;0.4000762303670247
122;0.0;3.0;29.0;1.0;0.4000762303670247
123;0.0;3.0;30.0;1.0;0.4000762303670247
124;0.0;3.0;31.0;1.0;0.4000762303670247
125;0.0;3.0;32.0;1.0;0.4000762303670247
126;0.0;4.0;0.0;1.0;0.40565973339658795
127;0.0;4.0;1.0;1.0;0.40565973339658795
128;0.0;4.0;2.0;1.0;0.40565973339658795
129;0.0;4.0;3.0;1.0;0.40565973339658795
130;0.0;4.0;4.0;1.0;0.40565973339658795
131;0.0;4.0;5.0;1.0;0.40565973339658795
132;0.0;4.0;6.0;1.0;0.40565973339658795
133;0.0;4.0;7.0;1.0;0.40565973339658795
134;0.0;4.0;8.0;1.0;0.40565973339658795
135;0.0;4.0;9.0;1.0;0.40565973339658795
136;0.0;4.0;10.0;1.0;0.40565973339658795
137;0.0;4.0;11.0;1.0;0.40565973339658795
138;0.0;4.0;12.0;1.0;0.40565973339658795
139;0.0;4.0;13.0;1.0;0.40565973339658795
140;0.0;4.0;14.0;1.0;0.40565973339658795
141;0.0;4.0;15.0;1.0;0.40565973339658795
142;0.0;4.0;16.0;1.0;0.40565973339658795
143;0.0;4.0;17.0;1.0;0.40565973339658795
144;0.0;4.0;18.0;1.0;0.40565973339658795
145;0.0;4.0;19.0;1.0;0.40565973339658795
146;0.0;4.0;20.0;1.0;0.40565973339658795
147;0.0;4.0;21.0;1.0;0.40565973339658795
148;0.0;4.0;22.0;1.0;0.40565973339658795
149;0.0;4.0;23.0;1.0;0.40565973339658795
150;0.0;4.0;24.0;1.0;0.40565973339658795
151;0.0;4.0;25.0;1.0;0.40565973339658795
152;0.0;4.0;26.0;1.0;0.40565973339658795
153;0.0;4.0;27.0;1.0;0.40565973339658795
154;0.0;4.0;28.0;1.0;0.40565973339658795
155;0.0;4.0;29.0;1.0;0.40565973339658795
156;0.0;4.0;30.0;1.0;0.40565973339658795
157;0.0;4.0;31.0;1.0;0.40565973339658795
158;0.0;4.0;32.0;1.0;0.40565973339658795
159;0.0;5.0;0.0;1.0;0.3847778074202999
160;0.0;5.0;1.0;1.0;0.3847778074202999
161;0.0;5.0;2.0;1.0;0.3847778074202999
162;0.0;5.0;3.0;1.0;0.3847778074202999
163;0.0;5.0;4.0;1.0;0.3847778074202999
164;0.0;5.0;5.0;1.0;0.3847778074202999
165;0.0;5.0;6.0;1.0;0.3847778074202999
166;0.0;5.0;7.0;1.0;0.3847778074202999
167;0.0;5.0;8.0;1.0;0.3847778074202999
168;0.0;5.0;9.0;1.0;0.3847778074202999
169;0.0;5.0;10.0;1.0;0.3847778074202999
170;0.0;5.0;11.0;1.0;0.3847778074202999
171;0.0;5.0;12.0;1.0;0.3847778074202999
172;0.0;5.0;13.0;1.0;0.3847778074202999
173;0.0;5.0;14.0;1.0;0.3847778074202999
174;0.0;5.0;15.0;1.0;0.3847778074202999
175;0.0;5.0;16.0;1.0;0.3847778074202999
176;0.0;5.0;17.0;1.0;0.3847778074202999
177;0.0;5.0;18.0;1.0;0.3847778074202999
178;0.0;5.0;19.0;1.0;0.3847778074202999
179;0.0;5.0;20.0;1.0;0.3847778074202999
180;0.0;5.0;21.0;1.0;0.3847778074202999
181;0.0;5.0;22.0;1.0;0.3847778074202999
182;0.0;5.0;23.0;1.0;0.3847778074202999
183;0.0;5.0;24.0;1.0;0.3847778074202999
184;0.0;5.0;25.0;1.0;0.3847778074202999
185;0.0;5.0;26.0;1.0;0.3847778074202999
186;0.0;5.0;27.0;1.0;0.3847778074202999
187;0.0;5.0;28.0;1.0;0.3847778074202999
188;0.0;5.0;29.0;1.0;0.3847778074202999
189;0.0;5.0;30.0;1.0;0.3847778074202999
190;0.0;6.0;0.0;1.0;0.3510433479591652
191;0.0;6.0;1.0;1.0;0.3510433479591652
192;0.0;6.0;2.0;1.0;0.3510433479591652
193;0.0;6.0;3.0;1.0;0.3510433479591652
194;0.0;6.0;4.0;1.0;0.3510433479591652
195;0.0;6.0;5.0;1.0;0.3510433479591652
196;0.0;6.0;6.0;1.0;0.3510433479591652
197;0.0;6.0;7.0;1.0;0.3510433479591652
198;0.0;6.0;8.0;1.0;0.3510433479591652
199;0.0;6.0;9.0;1.0;0.3510433479591652
200;0.0;6.0;10.0;1.0;0.3510433479591652
201;0.0;6.0;11.0;1.0;0.3510433479591652
202;0.0;6.0;12.0;1.0;0.3510433479591652
203;0.0;6.0;13.0;1.0;0.3510433479591652
204;0.0;6.0;14.0;1.0;0.3510433479591652
205;0.0;6.0;15.0;1.0;0.3510433479591652
206;0.0;6.0;16.0;1.0;0.3510433479591652
207;0.0;6.0;17.0;1.0;0.3510433479591652
208;0.0;6.0;18.0;1.0;0.3510433479591652
209;0.0;6.0;19.0;1.0;0.3510433479591652
210;0.0;6.0;20.0;1.0;0.3510433479591652
211;0.0;6.0;21.0;1.0;0.3510433479591652
212;0.0;6.0;22.0;1.0;0.3510433479591652
