;Année;Date;Heure;NCT;vitesseCourant;directionCourant;maree;Longitude;Latitude;pcG;Taille;Rayon;Time;date_heure_stamp;x;y
0;1999;1999-06-11;0.2777777777778283;1999001;0.692832591612144;50.68150012714679;L;48.0805;-69.6215;36.36363636363637;20;;24000.000000004366;9906110640;453711.1611594801;5325434.335756408
1;1999;1999-06-11;0.2881944444443434;1999001;1.147721656151874;42.06884621748939;L;48.08116666666669;-69.614;36.36363636363637;22;50;24899.99999999127;9906110655;454270.3439426912;5325503.952080351
2;1999;1999-06-11;0.3090277777778283;1999001;1.147721656151874;42.06884621748939;L;48.083000000000006;-69.6128333333333;36.36363636363637;32;50;26700.000000004366;9906110725;454358.8567408789;5325707.028924296
3;1999;1999-06-11;0.3298611111110858;1999001;0.2467812796789902;135.164170838717;L;48.0831666666667;-69.6203333333333;36.36363636363637;32;;28499.99999999781;9906110755;453800.4411295261;5325730.02638397
4;1999;1999-06-11;0.3402777777778283;1999001;1.249378245368471;46.81624511118835;L;48.0765;-69.6025;36.36363636363637;32;;29400.000000004366;9906110810;455122.7821437382;5324978.501408837
5;1999;1999-06-11;0.3680555555556566;1999002;0.6052652311177307;251.804530574619;L;48.12449999999999;-69.6761666666667;10;50;;31800.00000000873;9906110850;449682.61029953544;5330359.113228904
6;1999;1999-06-11;0.3784722222221717;1999002;0.8131377497078831;260.9431203335756;R;48.124;-69.6733333333333;10;50;700;32699.999999995634;9906110905;449892.967313436;5330301.6905758595
7;1999;1999-06-11;0.3923611111110858;1999002;0.8131377497078831;260.9431203335756;R;48.124;-69.6733333333333;24.0;25;50;33899.99999999781;9906110925;449892.967313436;5330301.6905758595
8;1999;1999-06-11;0.40625;1999002;0.846414201204115;292.1408057024204;R;48.107333333333294;-69.6616666666667;24.0;25;;35100.0;9906110945;450745.22688452434;5328441.704104607
9;1999;1999-06-14;0.4166666666667425;1999003;0.8582085993509969;26.35605238722374;L;48.188500000000005;-69.5416666666667;;2;;36000.000000006556;9906141000;459741.58143584494;5337393.401545209
10;1999;1999-06-14;0.4444444444443434;1999003;0.5412079082940308;48.44558628684543;L;48.184;-69.54650000000001;;2;;38399.99999999127;9906141040;459378.7978474515;5336895.774060406
11;1999;1999-06-17;0.3680555555556566;1999004;0.8961841328655624;28.30941595026827;E;47.8026666666667;-69.7361666666667;20;77;;31800.00000000873;9906170850;444876.3305294455;5294630.181081671
12;1999;1999-06-17;0.3784722222221717;1999004;1.056706203256137;33.81037344788962;E;47.81250000000001;-69.7216666666667;20;77;500;32699.999999995634;9906170905;445972.27454541525;5295712.836467213
13;1999;1999-06-17;0.3993055555556566;1999004;1.800743457575232;29.58307383620611;E;47.83399999999999;-69.6903333333333;25;80;750;34500.00000000873;9906170935;448339.37697861256;5298080.963450708
14;1999;1999-06-17;0.4201388888889142;1999004;2.111285153644576;23.0311115679749;E;47.8658333333333;-69.6551666666667;30;65;375.0;36300.00000000219;9906171005;451001.03443600365;5301596.086268307
15;1999;1999-06-17;0.4409722222221717;1999004;1.594801868571767;35.58361798000423;E;47.8976666666667;-69.5991666666667;30;60;300;38099.999999995634;9906171035;455216.6229413422;5305100.138548193
16;1999;1999-06-17;0.4618055555556566;1999004;2.076505959538763;26.02209644204007;L;47.92400000000001;-69.5543333333333;30;60;400;39900.00000000873;9906171105;458588.59403599944;5308001.892017343
17;1999;1999-06-17;0.4826388888889142;1999004;0.9298306297385561;21.18350412494605;L;47.93266666666669;-69.5361666666667;30;60;600;41700.00000000219;9906171135;459952.4199818767;5308955.553124948
18;1999;1999-06-17;0.4930555555556566;1999004;0.4331154580478512;1.322992985167431;L;47.9331666666667;-69.5298333333333;30;60;;42600.00000000873;9906171150;460425.8520432833;5309007.85823939
19;1999;1999-06-17;0.5763888888889142;1999005;0.1711899529762188;237.8881851257657;L;47.79283333333329;-69.7493333333333;16.666666666666664;6;;49800.00000000218;9906171350;443879.8360228034;5293546.763549576
20;1999;1999-06-17;0.5868055555556566;1999005;0.1528692251566678;234.8544545002939;R;47.79516666666669;-69.7431666666667;16.666666666666664;6;30;50700.00000000873;9906171405;444344.1682441497;5293801.636540543
21;1999;1999-06-17;0.6076388888889142;1999005;1.33144169981265;242.7806082751731;R;47.7888333333333;-69.7631666666667;16.666666666666664;6;27.5;52500.00000000218;9906171435;442839.4294085676;5293112.329785604
22;1999;1999-06-17;0.6284722222221717;1999005;0.6358569021407253;259.3969505912709;R;47.786666666666704;-69.7968333333333;16.666666666666664;6;50;54299.999999995634;9906171505;440315.35775924014;5292896.952275534
23;1999;1999-06-17;0.6493055555556566;1999005;0.5669162195598217;245.2883880506456;R;47.77983333333331;-69.8176666666667;8;12;80;56100.00000000873;9906171535;438746.87594573246;5292153.776477651
24;1999;1999-06-17;0.65625;1999005;0.5429189626454394;243.2933615176061;R;47.7728333333333;-69.8181666666667;8;12;;56700.0;9906171545;438701.1927944479;5291376.189581931
25;1999;1999-06-18;0.3263888888889142;1999006;0.6416299556598024;53.6837538135312;H;48.0583333333333;-69.6508333333333;12.5;30;;28200.00000000219;9906180750;451505.6256087162;5322988.6399377715
26;1999;1999-06-18;0.3368055555556566;1999006;0.6059711214241154;51.76842542273703;H;48.0565;-69.653;12.5;40;100;29100.00000000873;9906180805;451342.4579344602;5322786.23827723
27;1999;1999-06-18;0.3576388888889142;1999006;1.133783930032526;50.51147741602061;E;48.072;-69.6433333333333;12.0;60;100;30900.00000000219;9906180835;452077.14555691974;5324502.945684385
28;1999;1999-06-18;0.3784722222221717;1999006;1.850866013519077;21.42201085311878;E;48.0721666666667;-69.6141666666667;12.5;70;200;32699.999999995634;9906180905;454249.9525589561;5324503.731129541
29;1999;1999-06-18;0.3993055555556566;1999006;2.553243623315253;14.93430820316289;E;48.0998333333333;-69.5665;12.5;42;300;34500.00000000873;9906180935;457823.3156358794;5327551.577394192
30;1999;1999-06-18;0.4201388888889142;1999006;0.7220976388273265;4.368277434588393;E;48.10233333333329;-69.5226666666667;12.0;45;300;36300.00000000219;9906181005;461088.64275119733;5327806.357803598
31;1999;1999-06-18;0.4409722222221717;1999006;0.5383010310226054;41.68657460020724;E;48.093;-69.516;12.5;50;;38099.999999995634;9906181035;461578.00598402385;5326765.634717936
